id	grammar-name	module	rust-function	classification	feature-gate	entry-point	output-type	parent-rules	child-rules	selection-behavior	termination	whitespace	spec-location	conformance-cases	implementation-path	notes
base.ampersand	ampersand	base	ampersand	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::ampersand	Macro-generated terminal "&" with TokenKind::Ampersand; no implicit whitespace.
base.apostrophe	apostrophe	base	apostrophe	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::apostrophe	Macro-generated terminal "'" with TokenKind::Apostrophe; no implicit whitespace.
base.asterisk	asterisk	base	asterisk	terminal	always	parse	Token	context-capability-scope,emphasis,grammar-repeat0,kind-any,wildcard	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::asterisk	Macro-generated terminal "*" with TokenKind::Asterisk; no implicit whitespace.
base.at	at	base	at	terminal	always	parse	Token	context-base-context,context-declaration,module-import,module-import-context-alias,prefixed-context-path	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::at	Macro-generated terminal "@" with TokenKind::At; no implicit whitespace.
base.bar	bar	base	bar	terminal	always	parse	Token	figures-row,kind-table,matrix-comprehension,mechdown-table-header,mechdown-table-row,set-comprehension	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::bar	Macro-generated terminal "|" with TokenKind::Bar; no implicit whitespace.
base.backslash	backslash	base	backslash	terminal	always	parse	Token	escaped-char	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::backslash	Macro-generated terminal "\\" with TokenKind::Backslash; no implicit whitespace.
base.caret	caret	base	caret	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::caret	Macro-generated terminal "^" with TokenKind::Caret; no implicit whitespace.
base.colon	colon	base	colon	terminal	always	parse	Token	atom,binding,call-arg-with-binding,center-alignment,citation,context-capability-declaration,empty-map,footnote,import-alias-operator,kind-atom,kind-map,left-alignment,mapping,option-mapping,pattern-atom-struct,right-alignment,select-all,title-front-matter,tuple-struct	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::colon	Macro-generated terminal ":" with TokenKind::Colon; no implicit whitespace.
base.comma	comma	base	comma	terminal	always	parse	Token	grammar-list,swizzle-subscript	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::comma	Macro-generated terminal "," with TokenKind::Comma; no implicit whitespace.
base.dash	dash	base	dash	terminal	always	parse	Token	checked-item,negate-factor,unchecked-item,unordered-list-item	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::dash	Macro-generated terminal "-" with TokenKind::Dash; no implicit whitespace.
base.dollar	dollar	base	dollar	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::dollar	Macro-generated terminal "$" with TokenKind::Dollar; no implicit whitespace.
base.equal	equal	base	equal	terminal	always	parse	Token	function-define-statements,import-alias-operator	none	none	exact fixed terminal	none	docs/design/specification.mec:1172	TERMINAL-CONTRACTS	src/syntax/src/base.rs::equal	Macro-generated terminal "=" with TokenKind::Equal; no implicit whitespace.
