cell-id	owning-layer	responsibility	fixture-or-construction	expected-result	evidence-status	witness-source	witness-test	witness-command	evidence-head	related-gaps	proof-limit	methods
P01	runtime source admission	raw source adapters preserve complete retained text and reject malformed candidates	"Source strings ""  answer := 42\r\n"" and ""answer := 1 +\n"" through compile_source, compile_canonical_source, compile_source_artifact, compile_canonical_source_artifact; configured planning counter starts at zero."	Good source yields 42 and exact retained source ranges; malformed source rejects before provider planning. Compare the four adapters on the same C head.	untested-adapter-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		The existing 42 dispatch test has no malformed/raw-coordinate case.	ProgramCompiler::compile_source;ProgramCompiler::compile_canonical_source;ProgramCompiler::compile_source_artifact;ProgramCompiler::compile_canonical_source_artifact;ProgramCompilerView::compile_interactive_source
P02	runtime artifact products	ordinary and interactive products preserve whole-document output/constraint identity	examples/working/fizzbuzz.mec via ordinary and interactive document compilation; original and decoded artifact.	Artifact has four integrity constraints; both ordinary/interactive source and decoded products load ResidentPure with identical revision; public program output name=result; formatted initial result contains the expected bee marker and both representations agree.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:6538	canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347	G19;G14	The test does not assert every named fence/inline slot or full independent FizzBuzz sequence; it asserts result identity, four constraints, bee marker and equivalence. Full presentation contracts remain separate consumer cells.	ProgramCompiler::compile_source;ProgramCompiler::compile_document;ProgramCompiler::compile_interactive_document;ProgramCompiler::compile_canonical_source;ProgramCompiler::compile_tree;ProgramCompiler::compile_interactive_tree;ProgramCompiler::compile_source_artifact;ProgramCompiler::compile_document_artifact;ProgramCompiler::compile_canonical_source_artifact;ProgramCompiler::compile_tree_artifact;CanonicalSourceFrontend::compile_document;CanonicalSourceFrontend::compile_document_with_catalog;CanonicalSourceFrontend::compile_interactive_document_with_catalog;ProgramCompilerView::compile_interactive_source
P03	runtime artifact sidecars	canonical native parts do not manufacture retired instruction sidecars	answer := 40 + 2; compile_canonical_source -> into_native_parts; ParsedProgram::from_bytes.	Artifact nodes nonempty; encoded ordinary instruction list empty; bindings, requirements and memory sidecar lengths all equal that zero instruction count.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:5367	canonical_native_sidecars_cover_every_encoded_instruction	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_native_sidecars_cover_every_encoded_instruction -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		This is an empty retired-sidecar consistency assertion. It proves neither source-span coverage nor nonzero native instruction binding.	ProgramCompiler::compile_source;ProgramCompiler::compile_document;ProgramCompiler::compile_interactive_document;ProgramCompiler::compile_canonical_source;ProgramCompiler::compile_tree;ProgramCompiler::compile_interactive_tree;ProgramCompiler::compile_source_artifact;ProgramCompiler::compile_document_artifact;ProgramCompiler::compile_canonical_source_artifact;ProgramCompiler::compile_tree_artifact;CanonicalSourceFrontend::compile_document_with_catalog
P04	runtime output projection	terminal host send retains preceding implicit result	Document whose last statement sends to a configured resource.	Trailing write is an effect; preceding ordinary result remains the public program result.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:5385	canonical_trailing_resource_send_preserves_implicit_result	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_trailing_resource_send_preserves_implicit_result -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			ProgramCompiler::compile_source;ProgramCompiler::compile_document;ProgramCompiler::compile_interactive_document;ProgramCompiler::compile_canonical_source;ProgramCompiler::compile_tree;ProgramCompiler::compile_interactive_tree;ProgramCompiler::compile_source_artifact;ProgramCompiler::compile_document_artifact;ProgramCompiler::compile_canonical_source_artifact;ProgramCompiler::compile_tree_artifact
P05	runtime planning inputs	supplied constants and selected live declarations have distinct ownership	port := supplied; next := port + 2f32; supplied=40f32; external={port} versus empty, then captured port=50.	Live defaults={port:40}; sole live port is port and changed capture produces52; constant variant has zero inputs and produces42; absent selected name rejects.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:5428	canonical_planning_values_remain_constants_and_live_defaults_are_detached	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_planning_values_remain_constants_and_live_defaults_are_detached -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		F32 scalar only; host-value census is P29.	ProgramCompiler::compile_document_artifact_with_inputs;ProgramCompiler::compile_document_artifact_with_input_initializers;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;CanonicalSourceFrontend::compile_document_with_planning_contract;CanonicalSourceFrontend::compile_interactive_document_with_planning_contract
P06	runtime provider planning	provider matrix snapshots close the inferred input shape	@provider := test://typed/value{:read(matrix)}; answer := @provider/matrix; shapes1x2,2x1,2x3.	Compile and static projection preserve exact row-major matrix dimensions and values.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:5929	canonical_resource_planning_closes_provider_matrix_shapes	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_resource_planning_closes_provider_matrix_shapes -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			ProgramCompiler::compile_source;ProgramCompiler::compile_document;ProgramCompiler::compile_interactive_document;ProgramCompiler::compile_canonical_source;ProgramCompiler::compile_tree;ProgramCompiler::compile_interactive_tree;ProgramCompiler::compile_source_artifact;ProgramCompiler::compile_document_artifact;ProgramCompiler::compile_document_artifact_with_inputs;ProgramCompiler::compile_document_artifact_with_input_initializers;ProgramCompiler::evaluate_static_document_symbols;ProgramCompiler::evaluate_static_document_symbols_with_inputs;ProgramCompiler::compile_canonical_source_artifact;ProgramCompiler::compile_tree_artifact;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;ProgramCompiler::evaluate_static_tree_symbols;ProgramCompiler::evaluate_static_tree_symbols_with_inputs;CanonicalSourceFrontend::compile_document_with_catalog_and_input_schemas;CanonicalSourceFrontend::compile_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_interactive_document_with_catalog_and_resources
P07	runtime resource scope	inactive document owners do not demand provider contracts	Root versus named/disabled/Mika-local configured reads as defined in the test.	Named/disabled/Mika-local missing-context reads/writes are ignored and artifact inputs remain empty; same missing input in executable root/plain fence rejects.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:5339	canonical_resource_planning_excludes_inactive_document_owners	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_resource_planning_excludes_inactive_document_owners -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			ProgramCompiler::compile_source;ProgramCompiler::compile_document;ProgramCompiler::compile_interactive_document;ProgramCompiler::compile_canonical_source;ProgramCompiler::compile_tree;ProgramCompiler::compile_interactive_tree;ProgramCompiler::compile_source_artifact;ProgramCompiler::compile_document_artifact;ProgramCompiler::compile_canonical_source_artifact;ProgramCompiler::compile_tree_artifact;CanonicalSourceFrontend::compile_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_interactive_document_with_catalog_and_resources
P08	runtime effects and grants	planning never performs live reads or prepares/delivers host effects	Configured clock read plus scene write, ordinary and interactive document; runtime grants clock only.	Provider plan counter positive; live reads=0, effect preparations=0, deliveries=0; denied scene write gives AuthorizationDenied before effects.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:6360	canonical_interactive_resource_planning_does_not_execute_host_effects	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_interactive_resource_planning_does_not_execute_host_effects -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		These two document projections share implementation; rooted provider-count cells remain P19/P20.	ProgramCompiler::compile_source;ProgramCompiler::compile_document;ProgramCompiler::compile_interactive_document;ProgramCompiler::compile_canonical_source;ProgramCompiler::compile_tree;ProgramCompiler::compile_interactive_tree;ProgramCompiler::compile_source_artifact;ProgramCompiler::compile_document_artifact;ProgramCompiler::compile_document_artifact_with_inputs;ProgramCompiler::compile_document_artifact_with_input_initializers;ProgramCompiler::compile_canonical_source_artifact;ProgramCompiler::compile_tree_artifact;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;CanonicalSourceProgram::compile_artifact_with_external_contracts;CanonicalSourceProgram::bind_resource_input;CanonicalSourceFrontend::compile_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_interactive_document_with_catalog_and_resources;ProgramCompilerView::compile_interactive_source
P09	runtime default projection	defaults do not leave unselected resource reads live	Resource-backed declaration default with selected live definition.	Selected port is sole live input; default=2f64; clock requirement absent when used only by detached initializer, present when also read by executable answer.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:5685	canonical_resource_defaults_do_not_create_unselected_live_observations	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_resource_defaults_do_not_create_unselected_live_observations -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			ProgramCompiler::compile_document_artifact_with_inputs;ProgramCompiler::compile_document_artifact_with_input_initializers;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;CanonicalSourceProgram::referenced_input_names;CanonicalSourceProgram::bind_resource_input;CanonicalSourceFrontend::compile_document_with_planning_contract;CanonicalSourceFrontend::compile_interactive_document_with_planning_contract
P10	runtime static projection	static selection detaches only requested values	matrix=[1f32 2f32;3f32 4f32]; answer=supplied+2f32; supplied40; requested matrix,answer,missing; second call no supplied inputs.	matrix is2x2 row-major[1,2,3,4]; answer42; missing rejects; literal no-input wrapper returns identical matrix; live matrix defaults detached.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:5502	canonical_static_symbols_filter_and_detach_matrix_values	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_static_symbols_filter_and_detach_matrix_values -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Scalar/F32Matrix only; P29 enumerates other host forms.	ProgramCompiler::evaluate_static_document_symbols;ProgramCompiler::evaluate_static_document_symbols_with_inputs;ProgramCompiler::evaluate_static_tree_symbols;ProgramCompiler::evaluate_static_tree_symbols_with_inputs;CanonicalSourceFrontend::compile_document_with_planning_contract
P11	runtime static projection	projection preserves independent integrity constraints	answer42; unrelated=10+20; safe! := unrelated <= limit; request answer for limits50 and20.	Limit50 succeeds; limit20 rejects even though constraint is not a data dependency of answer.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:5985	canonical_static_projection_preserves_independent_integrity_constraints	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_static_projection_preserves_independent_integrity_constraints -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			ProgramCompiler::evaluate_static_document_symbols;ProgramCompiler::evaluate_static_document_symbols_with_inputs;ProgramCompiler::evaluate_static_tree_symbols;ProgramCompiler::evaluate_static_tree_symbols_with_inputs;CanonicalSourceFrontend::compile_document_with_planning_contract
