cell_id	gap	source_json	existing_exact_test	fixture_ids	expected_behavior	current_status	status_reason	execution_protocol	observed-fixture-stage	observation-log
FSM01	G14	"""#Increment(value<f64>) => <f64>\n  | :start(value<f64>)\n  | :done(result<f64>).\n#Increment(value) -> :start(value)\n  :start(current) -> :done(current + 1)\n  :done(result) => result.\nresult := #Increment(41)\nresult\n"""		fsm-declared-increment;fsm-declared-named-input	A declared machine binds positional and named inputs; rejects duplicate/missing inputs, unknown machine/state, incompatible payload/output kinds and duplicate declarations at retained anchors.	blocked	Strict source/index admitted; recorded lowering rejection at G14 owning collector/body. Canonical behavior not qualified; blocked by G14. Grammar/reference contract; complete document collector rejects these units.	Compile retained document, decode artifact, execute source and decoded with independent expected values on two turns.	fsm-declared-increment:lowering;fsm-declared-named-input:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
FSM02	G14	"""#Increment(value<f64>) => <f64>\n  | :start(value<f64>)\n  | :done(result<f64>).\n#Increment(value) -> :start(value)\n  :start(current) -> :done(current + 1)\n  :done(result) => result.\nresult := #Increment(41)\nresult\n"""		fsm-declared-increment	State and guarded transitions select the intended branch; declaration payloads survive transitions; TrafficLight(6)=0 and Fibonacci(10)=55.	blocked	Strict source/index admitted; recorded lowering rejection at G14 owning collector/body. Canonical behavior not qualified; blocked by G14. Reference examples; resident behavior untested and blocked by G14.	Compile retained document, decode artifact, execute source and decoded with independent expected values on two turns.	fsm-declared-increment:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
FSM03	G14	"""~count := 0\n#Increment(value<f64>) => <f64>\n  | :start(value<f64>)\n  | :done(result<f64>).\n#Increment(value) -> :start(value)\n  :start(current) -> { count += 1 } -> :done(current + 1)\n  :done(result) => result.\nresult := #Increment(41)\nresult == 42 && count == 1\n"""			Statement/block transitions use ordinary state-candidate ordering; outputs publish only a completed successful transition.	blocked	Canonical behavior not qualified; blocked by G14. Grammar plus atomic continuation contract; blocked by G14.	Run one machine invocation, require successful block candidate increments count to 1 and emits 42. Fail/discard the prepared invocation then retry: publication/state remain unchanged until successful commit, count advances exactly once. Drive another turn without starting another invocation and require retained committed output.		""
FSM04	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			One yield resumes without any external input; creating turn cannot also resume it.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
FSM05	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			Two yields cross two distinct later turns; no extra same-turn fixed-point resume.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
FSM06	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			Failed and discarded new yields publish neither state nor output nor durable wakeup.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
FSM07	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			A failed/discarded resumed turn preserves the earlier committed continuation; retry advances it exactly once.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
FSM08	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			Reset and replacement reject queued stale generations.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
FSM09	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			Earlier lexical binding differs from changed external input read after resume; managed composite captures remain valid.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14 and shared structural-value qualification.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
FSM10	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			No output means no default value; yielding preserves the last committed output until an output transition succeeds.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
