component-id	component-size	recursive	members	outgoing-unported-components	outgoing-ported-rules
SCC-0001	80	true	argument-list|binding|brace-subscript|bracket-subscript|call-arg|call-arg-with-binding|comprehension-qualifier|expression|factor|fancy-table|fancy-table-header|field|formula|formula-subscript|fsm-args|fsm-async-transition|fsm-instance|fsm-output|fsm-pipe|fsm-state-transition|fsm-value|function-call|generator|header-field|inline-table|inline-table-header|inline-table-row|kind|kind-annotation|kind-kind|kind-map|kind-matrix|kind-record|kind-scalar|kind-set|kind-table|kind-tuple|kind-with-option|l1|l2|l3|l4|l5|l6|l7|literal|map|mapping|match-arm|matrix|matrix-column|matrix-comprehension|matrix-row|negate-factor|not-factor|parenthetical-term|pattern|pattern-array|pattern-array-item|pattern-array-token|pattern-atom-struct|pattern-tuple|pattern-tuple-struct|range-expression|range-subscript|record|regular-table|set|set-comprehension|slice|structure|subscript|table|table-header|table-row|table-row2|tuple|tuple-struct|var|variable-define	none	add-sub-operator|assign-operator|async-transition-operator|atom|bar|boolean|box-drawing-char|box-vert|box-vert-bold|colon|comma|comparison-operator|dash|define-operator|dot-subscript|dot-subscript-int|empty|empty-map|empty-set|enum-separator|generator-arrow|generator-arrow-u|grave|guard-operator|hashtag|identifier|kind-any|kind-atom|kind-empty|left-angle|left-brace|left-bracket|left-parenthesis|list-separator|logic-operator|matrix-end|matrix-operator|matrix-start|mul-div-operator|new-line|not|number|output-operator|period|power-operator|prefixed-context-path|question|range-operator|right-angle|right-brace|right-bracket|right-parenthesis|row-separator|select-all|semicolon|set-operator|space-tab0|space-tab1|spread-operator|statement-separator|string|swizzle-subscript|table-end|table-operator|table-separator|table-start|table-top|tilde|transition-operator|transpose|whitespace|whitespace0|whitespace1|wildcard
SCC-0002	55	true	abstract-el|activation-arm|activation-scope|check-list|check-list-item|checked-item|citation|emphasis|error-block|figure-item|figures|figures-row|float|footnote|fsm-arm|fsm-block-transition|fsm-guard|fsm-guard-arm|fsm-implementation|fsm-transition|highlight|hyperlink|idea-block|img|info-block|inline-mech-code|inline-paragraph|mech-code|mech-code-alt|mechdown-list|mechdown-table|mechdown-table-header|mechdown-table-no-header|mechdown-table-row|mechdown-table-with-header|not-mech-code|ordered-list|ordered-list-item|paragraph|paragraph-element|paragraph-newline|prompt|question-block|quote-block|section-element|strikethrough|strong|sublist|subtitle|success-block|unchecked-item|underline|unordered-list|unordered-list-item|warning-block	SCC-0001|SCC-0011|SCC-0062|SCC-0064|SCC-0106|SCC-0122|SCC-0132|SCC-0137|SCC-0139|SCC-0142|SCC-0145|SCC-0258|SCC-0334	abstract-sigil|alpha|alphanumeric|async-transition-operator|bar|colon|comment|dash|digit|emoji|emphasis-sigil|equation|error-alt-sigil|error-sigil|footnote-prefix|footnote-reference|guard-operator|hashtag|highlight-sigil|idea-sigil|identifier|img-prefix|info-sigil|inline-code|inline-equation|left-brace|left-bracket|left-parenthesis|list-separator|mika-section-close|module-import|new-line|number|output-operator|paragraph-text|period|prompt-sigil|question-sigil|quote-sigil|raw-hyperlink|reference|right-brace|right-bracket|right-parenthesis|section-reference|space|space-tab0|space-tab1|statement-separator|strong-sigil|success-check-sigil|success-sigil|text|thematic-break|tilde|transition-operator|underscore|warning-sigil|whitespace0|whitespace1
SCC-0004	3	true	mika|mika-section|section	SCC-0002|SCC-0217|SCC-0226|SCC-0376	blank-line|mika-section-close|mika-section-open|whitespace0
SCC-0011	1	false	alignment-separator	SCC-0058|SCC-0195|SCC-0250|SCC-0300	space-tab0
SCC-0030	1	false	body	SCC-0004	whitespace0
SCC-0057	1	false	cd-rpl	none	none
SCC-0058	1	false	center-alignment	none	colon|dash
SCC-0060	1	false	clc-rpl	none	none
SCC-0061	1	false	clear-rpl	none	none
SCC-0062	1	false	code-block	SCC-0258	any|codeblock-sigil|left-brace|new-line|space-tab0|text|whitespace0
SCC-0063	1	false	code-rpl	none	none
SCC-0064	1	false	code-terminal	none	comment|mika-section-close|new-line|right-brace|semicolon|space-tab0|whitespace0
SCC-0083	1	false	context-send	SCC-0001	send-operator
SCC-0095	1	false	docs-rpl	none	none
SCC-0106	1	false	empty-paragraph	none	none
SCC-0110	1	false	enum-define	SCC-0112	define-operator|enum-separator|identifier|left-angle|right-angle
SCC-0112	1	false	enum-variant	SCC-0113|SCC-0114	colon|grave|identifier
SCC-0113	1	false	enum-variant-inline-kind	SCC-0001	none
SCC-0114	1	false	enum-variant-kind	SCC-0001	left-parenthesis|right-parenthesis
SCC-0122	1	false	eval-inline-mech-code	SCC-0001	left-brace|right-brace|whitespace0
SCC-0132	1	false	float-sigil	none	float-left|float-right
SCC-0136	1	false	fsm	SCC-0001	hashtag|identifier
SCC-0137	1	false	fsm-comment-arm	none	comment
SCC-0138	1	false	fsm-declare	SCC-0001|SCC-0136	define-operator
SCC-0139	1	false	fsm-specification	SCC-0001|SCC-0140	define-operator|hashtag|identifier|left-parenthesis|list-separator|output-operator|period|right-parenthesis
SCC-0140	1	false	fsm-state-definition	SCC-0141	atom|guard-operator|whitespace0
SCC-0141	1	false	fsm-state-definition-variables	SCC-0001	left-parenthesis|list-separator|right-parenthesis
SCC-0142	1	false	fsm-statement-transition	SCC-0334	transition-operator
SCC-0144	1	false	function-arg	SCC-0001	identifier
SCC-0145	1	false	function-define	SCC-0144|SCC-0146|SCC-0147	identifier|left-parenthesis|list-separator|right-parenthesis|whitespace0
SCC-0146	1	false	function-define-match-arms	SCC-0001|SCC-0148	output-operator|period|statement-separator|whitespace0|whitespace1
SCC-0147	1	false	function-define-statements	SCC-0149|SCC-0150|SCC-0334	define-operator|equal|period|statement-separator|whitespace0|whitespace1
SCC-0148	1	false	function-match-arm	SCC-0001	bar|box-bl|box-t-left|output-operator|statement-separator|whitespace0|whitespace1
SCC-0149	1	false	function-out-arg	SCC-0144	none
SCC-0150	1	false	function-out-args	SCC-0144	left-parenthesis|list-separator|right-parenthesis
SCC-0168	1	false	help-rpl	none	none
SCC-0189	1	false	invariant-define	SCC-0001	assign-operator|define-operator|exclamation|identifier
SCC-0193	1	false	kind-define	SCC-0001	define-operator|identifier|left-angle|right-angle
SCC-0195	1	false	left-alignment	none	colon|dash
SCC-0208	1	false	load-rpl	none	none
SCC-0210	1	false	ls-rpl	none	none
SCC-0211	1	false	match-expression	SCC-0001	period|question|whitespace0
SCC-0217	1	false	micro-mika	SCC-0218|SCC-0219|SCC-0223	none
SCC-0218	1	false	mika-arm-left	none	none
SCC-0219	1	false	mika-arm-right	none	none
SCC-0220	1	false	mika-expression-inner	SCC-0221|SCC-0222|SCC-0223	none
SCC-0221	1	false	mika-eye-left	none	none
SCC-0222	1	false	mika-eye-right	none	none
SCC-0223	1	false	mika-nose	none	none
SCC-0226	1	false	mini-mika	SCC-0218|SCC-0219|SCC-0220	left-parenthesis|right-parenthesis
SCC-0250	1	false	no-alignment	none	dash
SCC-0256	1	false	op-assign	SCC-0001|SCC-0318	define-operator|op-assign-operator
SCC-0258	1	false	option-map	SCC-0259	left-brace|right-brace|whitespace0
SCC-0259	1	false	option-mapping	SCC-0260	colon|comma|identifier|whitespace0
SCC-0260	1	false	option-value	none	identifier|string
SCC-0266	1	false	parse	SCC-0268	none
SCC-0268	1	false	parse-mech	SCC-0278	none
