inventory	rule	declared-disposition	control-acceptance-cells	acceptance-cells	responsibility-class	owning-layer	related-gaps	current-control-status	syntax-evidence	accepted-source-json	rejected-source-json	recovery-source-json	semantic-certification-outcome	command-positive-json	command-negative-json	coverage-boundary
phase-2i	argument-list	structural	FUN02	rule:R17;compiler:F01;control:FUN02	structural-call-arguments	canonical function/named-call environment	G19	blocked	rule:R01	"""(1, x: 2)"""	""")(1, x: 2)"""	"""(1"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	binding	structural		rule:R31;schema:Q04;schema:Q06;schema:Q08	structural-record-field-binding	canonical Record field schema and constructor owner		not-a-control-qualification-row	rule:R01	"""a<u8>: 1"""	"""]a<u8>: 1"""	"""a:"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	brace-subscript	structural		rule:R31;schema:Q09;schema:Q10;schema:Q14;catalog:C15	structural-selector	canonical selection lowering and resident selection contracts	G17	not-a-control-qualification-row	rule:R01	"""{1}"""	"""}{1}"""	"""{1"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	bracket-subscript	structural		rule:R31;schema:Q09;schema:Q10;schema:Q14;catalog:C15	structural-selector	canonical selection lowering and resident selection contracts	G17	not-a-control-qualification-row	rule:R01	"""[1]"""	""")[1]"""	"""[1"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	call-arg	structural	FUN02	rule:R17;compiler:F01;control:FUN02	structural-call-arguments	canonical function/named-call environment	G19	blocked	rule:R01	"""1"""	"""]1"""	"""\""unterminated"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	call-arg-with-binding	structural	FUN02	rule:R17;compiler:F01;control:FUN02	structural-call-arguments	canonical function/named-call environment	G19	blocked	rule:R01	"""x: 1"""	"""}x: 1"""	"""x:"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	comprehension-qualifier	structural		rule:R07;rule:R08;rule:R09;rule:R10	structural-control-qualifier	canonical comprehension lowering and resident control	G06;G07;G08;G18	not-a-control-qualification-row	rule:R01	"""x <- xs"""	""")x <- xs"""	"""x <-"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	expression	executable		compiler:F01;rule:R11;rule:R05;rule:R06	expression-dispatch	canonical expression lowering; reached variants keep their named owners	G09	not-a-control-qualification-row	rule:R01	"""1 + 2"""	"""]1 + 2"""	"""1 +"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	factor	executable		rule:R05;catalog:C20	expression-wrapper/postfix	canonical expression lowering and matrix transpose contract		not-a-control-qualification-row	rule:R01	"""1'"""	"""}1'"""	"""\""unterminated"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	fancy-table	executable		rule:R31;schema:Q04;schema:Q12;schema:Q13;catalog:C33	executable-table-constructor	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""╭─\n│a│\n│1│"""	""")╭─\n│a│\n│1│"""	"""╭─\n│a│"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
