source-and-representation-contract	generic-value-boundary	supplied-host-input-contract	returned-default-static-contract	acceptance-cells	remaining-acceptance-cells	related-gaps	schema
Self-describing wildcard payload carries its concrete schema and shape; no implicit downcast.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q02;Q03;Q29;QG-Dynamic	QG-Dynamic	G26	Dynamic
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	RuntimeHostInputValue input forms Bool; subject to own feature/validity guards	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q04;Q10;Q26;QT-bool;QN-native-scalar-schema	Q01	G09	Bool
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	RuntimeHostInputValue input forms U8,U16,U32,U64,U128; subject to own feature/validity guards	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q12;Q13;QT-u8;QT-u16;QT-u32;QT-u64;QT-u128;QN-scalar-schema	Q01;QT-u8;QT-u16;QT-u32;QT-u64;QT-u128	G25	UnsignedInteger
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	RuntimeHostInputValue input forms I8,I16,I32,I64,I128; subject to own feature/validity guards	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q17;Q18;QT-i8;QT-i16;QT-i32;QT-i64;QT-i128	Q01;QT-i8;QT-i16;QT-i32;QT-i64;QT-i128	G25	SignedInteger
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	RuntimeHostInputValue input forms F32,F64; subject to own feature/validity guards	F32/F64 only (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q04;Q11;Q12;Q25;Q26;QT-f32;QT-f64	Q01;QT-f32;QT-f64	G06;G09;G25	FloatingPoint
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q16;Q22;Q23;QT-c32;QT-c64	Q01;QT-c32;QT-c64	G02;G25	Complex
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q17;QT-r64	Q01;QT-r64	G25	Rational64
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	RuntimeHostInputValue input forms String; subject to own feature/validity guards	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q14;Q15;QT-string	Q01		String
Source input annotation<id>; not a17builtin numeric/string/bool type.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q19;Q30	Q01;Q30		Id
Source input annotation<ix>; one-based index domain; not integer arithmetic alias.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	RuntimeHostInputValue input forms Index; subject to own feature/validity guards	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q20;Q31	Q01;Q31		Index
