gap-id	owner-and-responsibility	evidence-and-acceptance	semantic-witnesses	classification
G01	Engine resident numeric binding: c32 basic arithmetic and reduction	`scalar-c32`, `numeric-c32-{add,sub,mul,div}`, `matrix-c32-{add,sub,mul,div,sum}`, `matrix-repeat-c32`. Basic advertised complex32 operations must execute and preserve type/value through bytecode and subsequent turns. Power/matmul admission is G02.	scalar-c32;numeric-c32-add;numeric-c32-sub;numeric-c32-mul;numeric-c32-div;matrix-repeat-c32;matrix-c32-add;matrix-c32-sub;matrix-c32-mul;matrix-c32-div;matrix-c32-sum	confirmed-defect
G02	Core source operation schemes and target capability admission	Same-kind powers for u64/u128, signed integers, c32/c64/r64, and complex/rational matrix products currently lower then fail kernel binding. Reconcile supported signatures with resident factories; unsupported target combinations must reject during planning, before host effects. Do not invent new numeric powers to make probes green. Rational-to-i32 power already passes.	numeric-u64-pow;numeric-u128-pow;numeric-i8-pow;numeric-i16-pow;numeric-i32-pow;numeric-i64-pow;numeric-i128-pow;numeric-c32-pow;numeric-c64-pow;numeric-r64-pow;matrix-c32-matmul;matrix-c64-matmul;matrix-r64-matmul	contract-decision
G03	Catalog exposure / ordinary resident operation binding	`catalog-compare-max`, `catalog-compare-min` lower and fail with MissingResidentFactory. Both exports are Internal. Explicitly decide whether ordinary source calls must reject Internal exports or whether these operations require a resident factory; apply the chosen exposure rule consistently, not just to these spellings.	catalog-compare-max;catalog-compare-min	contract-decision
G04	Canonical selected-assignment lowering	`mixed-repeated`, `nested-repeated`. Fused addressed RMW is conditional on same element kind and no remaining selectors; fallback gathers old values then replaces, losing occurrence-ordered accumulation. Preserve the same occurrence contract through promotion and nested paths, including overflow rollback.	mixed-repeated;nested-repeated	confirmed-defect
G05	Resident activation dependency classification	`match-initializer`, `comprehension-initializer`. Control producers remain turn-only even when all dependencies are available at activation. Classify their dependencies and initialize state once without replaying effects or allowing live-only initializers.	match-initializer;comprehension-initializer	confirmed-defect
G06	Resident comprehension value storage/binding	`comprehension-i32`, `comprehension-string`, `comprehension-composite`. The resident control layout admits only its primitive subset despite richer artifact schemas. Qualify bindings, captures, and yields for the closed scalar/structural census, including destructuring and rest bindings.	comprehension-i32;comprehension-string;comprehension-composite	missing-prerequisite
G07	Canonical control-block composition	`comprehension-match`, `comprehension-nested`. Collection bodies accept only ordinary operations and require closed element shapes. Lower nested control into the shared control representation; specify and test shape ownership for nested collections. No special-case source rewrites.	comprehension-match;comprehension-nested	missing-prerequisite
G08	Canonical computed-pattern evaluation	`comprehension-computed-pattern`. Lower an explicit pattern evaluation block with lexical captures and ordered filtering; do not turn arbitrary expressions into literal-only comparisons.	comprehension-computed-pattern	missing-prerequisite
G09	Canonical match-pattern lowering	`match-tuple`. Match lowering accepts scalar literal, wildcard and bind forms, rejecting structural patterns. Qualify tuple/array/tagged patterns, binding scopes, guards, non-match behavior and exhaustiveness.	match-tuple	missing-prerequisite
G10	Canonical semantic declaration environment: kind definitions	`kind-alias`. Collector rejects KindDefine. Resolve aliases through the canonical type environment, including uses in functions and aggregates; diagnose duplicate/cyclic/invalid declarations at retained anchors.	kind-alias	missing-prerequisite
G11	Canonical semantic declaration environment: enums	`enum-declaration`. Collector rejects EnumDefine. Construct nominal enum identity, payload schemas, variant values and pattern use through the same type authority.	enum-declaration	missing-prerequisite
G12	Canonical constrained-type semantics	`constrained-kind`. Scalar constraints explicitly reject because there is no constrained schema representation. This is a prerequisite design/implementation decision, not a compiler adapter fix. Define validation and artifact identity before implementation.	constrained-kind	contract-decision
G13	Canonical reified kind construction	`reified-inferred-matrix`. A reified matrix kind without dimensions rejects while ordinary dimensionless matrix annotations can infer dimensions from a value. Decide whether unsized reified kinds are valid independently of a value; encode the answer in positive or positioned negative tests. Do not conflate this with the already-supported annotated value case.	reified-inferred-matrix	contract-decision
G14	Canonical FSM declarations and resident continuation owner	`fsm-pipe` reaches an artifact and fails activation; document FSM declarations are explicitly rejected by the collector. Required acceptance is the specification's FSM state/transition/guard/async semantics, persistence, resource effects and fairness. The old completion ledger's “intentionally unavailable” is not product completion.	fsm-pipe	missing-prerequisite
G15	Canonical activation-scope semantics	`activation-scope`. Collector rejects ActivationScope. Define activation-arm evaluation/ownership and connect it to the same control/effect owner; syntax recognition alone is insufficient.	activation-scope	contract-decision
G16	ProgramCompiler ordered dependency graph ownership	`ordered_transitive_explicit_root_witness`. Only direct edges to explicit roots become shared live bindings; a transitive path is detached into constant exports. Two explicit roots must share the same dependency instance through intermediates, preserve caller output order, and plan each provider once. Required output is `1`, then `2`, not `1`, then `1`.		confirmed-defect
G17	Resident shape planning for computed logical reads	`logical-read`. The selected population is not available as an activation shape fact. Support the maintained dynamic-read contract through changing masks and abort/commit, or identify a pre-existing fixed-population input requirement explicitly; never substitute an unused-write fix.	logical-read	confirmed-defect
G18	Resident downstream layout for variable-cardinality collection results	`dynamic-concat`. Direct comprehension output works; a downstream concatenation cannot bind its runtime layout. Qualify concat, transpose and nested publication against current cardinality, including empty and changed results. G07 owns constructing nested control; this item owns its consumer layout.	dynamic-concat	confirmed-defect
G19	Canonical function body lowering	`pattern-function`, `factorial`. Only FunctionDefineStatements is found by the inliner. Lower match-bodied functions using canonical pattern/control semantics, with typed argument/output binding and exact source anchors.	pattern-function;factorial	missing-prerequisite
G20	Canonical recursive function execution	Statement-body recursion witness isolates the inliner's active-function rejection from G19. Recursion cannot be completed by unbounded inlining. Define its bounded execution/continuation contract and test base case, recursion, limits and rollback.	statement-recursion	contract-decision
G21	C retirement: compiler/tree/cache authority	Frozen C still exposes tree compiler methods that invoke `plan_artifact_tree_with_services`; interactive `from_tree` and old Program storage survive. Remove these authorities after their responsibility-specific replacements qualify. Mechanical parser deletion alone does not close this item.		cutover-or-certification-defect
G22	C browser document transport and lifecycle	`browser_document_payload_witness` exercises the exact old decoder/type against the canonical producer payload. `interactive_tree` in frozen C ignores candidate source. Migrate document bootstrap, capture, replacement and documentation execution to retained documents and canonical artifacts. Prove real browser loading, changed source, hidden/local outputs, failed replacement and stale transitive dependency rejection.		cutover-or-certification-defect
G23	C build/test retirement closure	Engine `--lib --no-run` fails on deleted parser references. Retarget the finite manifest of tests/examples and remove obsolete source features/dependencies; execute each distribution with nonzero test counts. This is not an invitation to retain a parser shim.		cutover-or-certification-defect
G24	Semantic certification maintenance	`every_semantic_rule_meets_its_required_witness_outcome` and `semantic_evidence_distinguishes_non_wire_shape_values_and_slot_ownership` fail after constant-shape improvements. Rebuild shape-sensitive witnesses that still exercise non-wire shape ownership; update fingerprints only after reviewing actual artifact differences. Also review certification_evidence_uses_only_canonical_authorities snapshot-import allowance; keep enforcement.		cutover-or-certification-defect
