acceptance-cell	source-ledger	source-ids	primary-review-boundary	supporting-review-boundaries	owning-responsibility	related-gaps
compiler:P01	compiler-acceptance-cells.tsv	P01	E5		runtime source admission: raw source adapters preserve complete retained text and reject malformed candidates	""
compiler:P02	compiler-acceptance-cells.tsv	P02	E5	R16;R18	runtime artifact products: ordinary and interactive products preserve whole-document output/constraint identity	G19;G14
compiler:P03	compiler-acceptance-cells.tsv	P03	E5		runtime artifact sidecars: canonical native parts do not manufacture retired instruction sidecars	""
compiler:P04	compiler-acceptance-cells.tsv	P04	E5		runtime output projection: terminal host send retains preceding implicit result	""
compiler:P05	compiler-acceptance-cells.tsv	P05	E5		runtime planning inputs: supplied constants and selected live declarations have distinct ownership	""
compiler:P06	compiler-acceptance-cells.tsv	P06	E5		runtime provider planning: provider matrix snapshots close the inferred input shape	""
compiler:P07	compiler-acceptance-cells.tsv	P07	E5		runtime resource scope: inactive document owners do not demand provider contracts	""
compiler:P08	compiler-acceptance-cells.tsv	P08	E5		runtime effects and grants: planning never performs live reads or prepares/delivers host effects	""
compiler:P09	compiler-acceptance-cells.tsv	P09	E5		runtime default projection: defaults do not leave unselected resource reads live	""
compiler:P10	compiler-acceptance-cells.tsv	P10	E5		runtime static projection: static selection detaches only requested values	""
compiler:P11	compiler-acceptance-cells.tsv	P11	E5		runtime static projection: projection preserves independent integrity constraints	""
compiler:P12	compiler-acceptance-cells.tsv	P12	E5		runtime static projection: projection prunes unused inputs while retaining constrained inputs	""
compiler:P13	compiler-acceptance-cells.tsv	P13	E6		runtime rooted graph: resolved revisions and interactive publication survive all eight rooted canonical wrappers	""
compiler:P14	compiler-acceptance-cells.tsv	P14	E6		runtime module identity: ModuleBuildOptions fields reach module-build identity and validation	""
compiler:P15	compiler-acceptance-cells.tsv	P15	E6		runtime graph errors: missing dependency does not poison reusable interactive compiler	""
compiler:P16	compiler-acceptance-cells.tsv	P16	R20		runtime ordered graph: ordered roots share prior definitions and publish caller order	G16
compiler:P17	compiler-acceptance-cells.tsv	P17	E6		engine ordered documents: explicit root exports retain live state and independent source maps	""
compiler:P18	compiler-acceptance-cells.tsv	P18	R20		runtime ordered graph: transitive path to an explicit root shares live dependency instance	G16
compiler:P19	compiler-acceptance-cells.tsv	P19	E6		runtime ordered provider ownership: direct explicit dependency plans its provider once	""
compiler:P20	compiler-acceptance-cells.tsv	P20	R20		runtime ordered provider ownership: transitive explicit dependency plans once and contributes one live read per turn	G16
compiler:P21	compiler-acceptance-cells.tsv	P21	E6		runtime ordered lexical resources: cross-root local function keeps its defining resource context	""
compiler:P22	compiler-acceptance-cells.tsv	P22	E6		runtime ordered transactional planning: later-root rejection leaves no host effect and reusable compiler usable	""
compiler:P23	compiler-acceptance-cells.tsv	P23	E8		runtime mixed partitioning: one retained document owns coordinator, compute interface and typed initializer	""
compiler:P24	compiler-acceptance-cells.tsv	P24	E8		runtime mixed dependency graph: rooted and resolved mixed products share transitive imports	""
