removal-id	kind	source-path	surface	preparation-owner	c-action	test-disposition	replacement-contract	blocker	status	evidence-sha	evidence-result	completion-action
browser-features	feature	src/wasm/Cargo.toml	source-document loader and formatting feature edges	B	replace removed API feature edges	retarget	browser_project_core and browser_compute	B actual bootstrap proof	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
browser-loader	serialization	src/wasm/src/project.rs	decode_document_tree; bootstrap Program; initial_repl_tree; output AST rewrites	B	remove Program decoder/cache and use prepared canonical loading	retarget	retained source plus accepted artifact admission	B packaging and S7A output/render handoffs	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
bundle-payload	serialization	src/bundle_web.rs	compress_and_encode Program payload and formatter code slots	B	publish source and existing accepted artifact format; remove AST encoding	retarget	ProgramArtifact and retained source; same bytecode version	producer and actual loader witness	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
census-enforcement	enforcement	src/syntax/tests/source_parser_consumer_inventory.rs	frozen 27 contracts / 29 calls; alias and cfg adversarial checks	A	replace shipping expectation with zero retiring calls; preserve adversarial scanner tests	retarget	historical linked manifest plus permanent zero-route gate	C all routes and physical deletion	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
cli-repl-mika-presentation	api	src/cli/commands/repl/mod.rs	MICROMIKA_WAVE imported from retiring syntax::mika module	A	retain presentation constant through its canonical presentation owner	retarget	CLI REPL Mika wave and prompt output unchanged	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
cli-style-sheets	api	src/cli/resources.rs	html_style_sheets returns retiring formatter::HtmlStyleSheets	A	retarget retired interface; preserve maintained behavior	retarget	canonical renderer options preserve bundled styles and user page stylesheet	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
compiler-tree-apis	public-api	src/runtime/src/runtime/program/compiler.rs	compile_tree; compile_interactive_tree; compile_tree_artifact; compile_tree_artifact_with_inputs; compile_tree_artifact_with_input_initializers; evaluate_static_tree_symbols; evaluate_static_tree_symbols_with_inputs; compile_mixed_tree; source_tree; declaration_tree; executable_tree	B	replace tree methods with canonical source/scope methods; remove reparsing and sanitizing	retarget	ProgramArtifact; current host/capability/planning owners	S4 semantics and B product integration	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
config-compiler	api	src/runtime/src/config/profile/compile.rs	ConfigCompiler consumes retired MechCode/expression/statement/function AST	B	delete retired configuration AST implementation; canonical implementation is inherited from B	retarget	canonical_config_profile: 43 maintained and retained-source cases pass in B source and full_source profiles	physical deletion verified; C product execution still requires A resolver/module integration	removed	88275c38ad188694ca157abc0382077c51e56daf	pass	delete-path
config-extractor	api	src/runtime/src/config/profile/extract.rs	ConfigExtractor::extract Program input and ExtractedConfigProgram MechCode storage	B	delete retired configuration AST implementation; canonical implementation is inherited from B	retarget	canonical_config_profile: 43 maintained and retained-source cases pass in B source and full_source profiles	physical deletion verified; C product execution still requires A resolver/module integration	removed	88275c38ad188694ca157abc0382077c51e56daf	pass	delete-path
example:hosts/gpu/examples/compute_backend_benchmark.rs	example	hosts/gpu/examples/compute_backend_benchmark.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	backend benchmark preserves complete source and capability requirements	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
example:hosts/gpu/examples/parallel_ekf_benchmark.rs	example	hosts/gpu/examples/parallel_ekf_benchmark.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	parallel EKF benchmark preserves array source and numerical outputs	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
example:hosts/gpu/examples/particle_benchmark.rs	example	hosts/gpu/examples/particle_benchmark.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	particle numerical benchmark through canonical mixed compilation	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
interactive-cache	cache	src/runtime/src/interactive.rs	Program cache; formatter reconstruction; submission candidate tree	B	retain canonical document session and transactional compilation candidate	retarget	DocumentSession and DocumentStream	interactive failure/replace/reset/clear witnesses	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
legacy-lowering	implementation	src/syntax/src/document/lower/legacy	all modules and lower::legacy export	A	delete directory and export	retarget	canonical engine source semantics	parity tests require disposition	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
lock-and-generated	build	Cargo.lock	retired package edges, fixture generators, generated native/browser products	B	regenerate lock and products using existing formats; inspect reverse dependencies	retarget	existing artifact ABI and reproducible build pipeline	nom may have unrelated users; dependency graph decides	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
module-builder-transfer	cache	src/runtime/src/module/builder.rs	ModuleBuilder::build_resolved_source transfers resolved.syntax_tree into RuntimeModuleRecord	A	retarget retired interface; preserve maintained behavior	retarget	share the admitted SourceDocument revision with the module record	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
module-cache	cache	src/runtime/src/module/record.rs	Program cache in module records	A	retain canonical snapshot; invalidate derived projections on replacement	retarget	SourceDocument	compiler module dependencies	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
module-store-cache	cache	src/runtime/src/store.rs	ModuleVersionRecord.syntax_tree: Option<Arc<Program>>; with_syntax_tree	A	replace stored AST with retained source ownership; preserve transactions and source identity	retarget	SourceDocument and existing module store lifecycle	store record persistence/replacement and transfer to ResolvedSource	inventoried	pending	preparation incomplete	replace-surface
module-store-transfer	cache	src/runtime/src/runtime/module/mod.rs	load_module_version .with_syntax_tree(record.syntax_tree) and cached source indexing	A	transfer retained canonical source and rebuild only invalidated projections	retarget	SourceDocument; CanonicalDocumentIndex; module-version transaction ownership	source-only and resident integration witnesses	inventoried	pending	preparation incomplete	replace-surface
nom-module:activation	implementation	src/syntax/src/activation.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:base	implementation	src/syntax/src/base.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:expressions	implementation	src/syntax/src/expressions.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:formatter	implementation	src/syntax/src/formatter.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:functions	implementation	src/syntax/src/functions.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:grammar	implementation	src/syntax/src/grammar.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:imports	implementation	src/syntax/src/imports.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:literals	implementation	src/syntax/src/literals.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:mechdown	implementation	src/syntax/src/mechdown.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:mika	implementation	src/syntax/src/mika.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:parser	implementation	src/syntax/src/parser.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
