consumer-id	package	source-path	caller-symbol	call-count	feature-gate	input-policy	failure-policy	current-result-use	canonical-target	cutover-action	fixture-id	notes
bundle-web.project	mech	src/bundle_web.rs	bundle_web_project	1	bundle_web_core	raw	propagate	encode-render-and-publish	typed-document+program-artifact	parse canonical document, render typed syntax, and publish canonical artifact	document	Source text is parsed before encoded code and HTML are emitted.
cli.compute-inline	mech	src/cli/compute.rs	compile_inline_compute_application	1	compute_backends_native	trimmed	propagate	compile-mixed-compute-application	engine-source-semantics	compile typed canonical inline source through the mixed-compute frontend	compiler	Native compute currently enters the parser through its crate-root re-export.
cli.format	mech	src/cli/commands/format/mod.rs	run	2	formatter	trimmed	propagate	format-source-or-html	typed-document	format the canonical lossless document	document	Both raw and HTML formatting consume Program.
cli.run-classification	mech	src/cli/run/mod.rs	parses_as_executable_run_source	1	run	trimmed	return-false	classify-inline-source	typed-document	classify executable nodes from typed document structure	executable	A parse failure means the input is not classified as executable source.
engine.frozen-ekf	mech-engine	src/engine/src/efficacy/ekf/closure.rs	compile_frozen_ekf_product	1	resident-artifact+semantic-compiler	trimmed	propagate	plan-canonical-artifact	engine-source-semantics	compile typed canonical source directly	compiler	The frozen EKF source path parses before compiler planning.
runtime.config-profile	mech-runtime	src/runtime/src/config/profile/mod.rs	parse_config_document	1	source	raw	propagate	extract-compile-and-lower-config	engine-config-semantics	evaluate typed canonical config source	config	Configuration evaluation consumes the complete Program.
runtime.interactive-clear	mech-runtime	src/runtime/src/interactive.rs	clear_variables	2	resident-routing-source	empty-literal+trimmed	propagate	edit-and-reformat-program	syntax-session+engine-source-semantics	edit canonical source revision and recompile typed source	interactive	One call creates an empty tree and one reconstructs a missing cached tree.
runtime.interactive-replace	mech-runtime	src/runtime/src/interactive.rs	replace_source_preserving	1	resident-routing-source	trimmed	propagate	replace-runtime-source	syntax-session+engine-source-semantics	replace canonical source revision and recompile	interactive	Replacement parses before resident planning and activation.
runtime.interactive-reset	mech-runtime	src/runtime/src/interactive.rs	reset	1	resident-routing-source	empty-literal	propagate	reset-empty-program	syntax-session	create an empty canonical document revision	empty	Reset constructs the canonical empty Program contract.
runtime.interactive-submit	mech-runtime	src/runtime/src/interactive.rs	submit_without_source_echo	1	resident-routing-source	trimmed	propagate	append-and-plan-source	syntax-session+engine-source-semantics	append canonical source revision and compile	interactive	The appended complete source is parsed before planning.
runtime.module-index	mech-runtime	src/runtime/src/runtime/module/mod.rs	source_index_for_module_record_source	1	source	trimmed	propagate	build-module-source-index	typed-source-index	index typed imports, exports, contexts, and scopes	resolver-index	Text module records are parsed only when no tree is cached.
runtime.program-artifact	mech-runtime	src/runtime/src/runtime/program/compiler.rs	compile_source_artifact	1	resident-routing-source	trimmed	propagate	compile-program-artifact	engine-source-semantics	compile typed canonical source to ProgramArtifact	compiler	Direct source artifact compilation parses before artifact planning.
runtime.program-compile	mech-runtime	src/runtime/src/runtime/program/compiler.rs	compile_source	1	resident-routing-source	trimmed	propagate	compile-program	engine-source-semantics	compile typed canonical source	compiler	Ordinary resident source compilation consumes Program.
runtime.program-declaration-tree	mech-runtime	src/runtime/src/runtime/program/compiler.rs	declaration_tree	1	resident-routing-source+compute	trimmed	propagate	partition-declaration-program	engine-source-semantics	partition typed canonical declaration source	compiler	Mixed compute compilation recursively combines declaration trees.
runtime.program-executable-tree	mech-runtime	src/runtime/src/runtime/program/compiler.rs	executable_tree	1	resident-routing-source	trimmed	propagate	sanitize-executable-program	engine-source-semantics	compile typed canonical executable source	compiler	Executable source is parsed and sanitized before compilation.
runtime.program-interactive	mech-runtime	src/runtime/src/runtime/program/compiler.rs	compile_interactive_source	1	resident-routing-source	trimmed	propagate	compile-observable-program	engine-source-semantics	compile typed canonical interactive source	interactive	Interactive compilation retains observable symbols.
runtime.program-source-tree	mech-runtime	src/runtime/src/runtime/program/compiler.rs	source_tree	1	resident-routing-source	trimmed	propagate	cache-source-program	syntax-snapshot	retain the canonical source snapshot	compiler	Resolved string sources become optional Program trees.
runtime.resolver-file	mech-runtime	src/runtime/src/resolver/file.rs	resolve	1	source	trimmed	propagate	index-and-cache-resolved-source	syntax-snapshot+typed-source-index	retain and index the canonical resolved source	resolver-index	Resolved Mech files are indexed and dependency-expanded.
runtime.resolver-memory-insert	mech-runtime	src/runtime/src/resolver/memory.rs	insert_string	1	source	trimmed	propagate	cache-resolved-tree	syntax-snapshot+typed-source-index	retain and index the canonical in-memory source	resolver-index	Fallible insertion requires a valid Program.
runtime.resolver-memory-with	mech-runtime	src/runtime/src/resolver/memory.rs	with_string	1	source	trimmed	omit-cache	defer-malformed-source-error	syntax-snapshot	retain canonical source and diagnostics without an AST cache fallback	malformed	The infallible builder retains malformed text without a cached tree.
serve.workspace-render	mech	src/serve.rs	sync_workspace_snapshot	1	serve	raw	render-diagnostic	render-or-cache-source	typed-document+program-artifact	render canonical typed source and publish canonical artifact	document	Current code reparses source when no resolver tree exists; the cutover removes that branch.
wasm.document-capture	mech-wasm	src/wasm/src/project.rs	document_runtime_tree	1	browser_project_core	fixed-capture	propagate	insert-output-capture	typed-document	construct the capture through canonical typed source facilities	wasm-document	A fixed hidden fenced block supplies the document output capture.
wasm.initial-repl-source	mech-wasm	src/wasm/src/project.rs	initial_repl_source	1	browser_project_core	trimmed	format-tree-fallback	verify-source-tree-equivalence	syntax-snapshot	return the retained canonical source revision	wasm-document	Original text is retained only when reparsing reproduces the stored tree.
wasm.interactive-tree	mech-wasm	src/wasm/src/project.rs	interactive_tree	1	browser_project_core	trimmed	propagate	replace-browser-program	syntax-session+engine-source-semantics	compile the canonical browser source revision	interactive	Browser console source becomes a Program.
wasm.mixed-compute-source	mech-wasm	src/wasm/src/mixed_compute.rs	from_source	1	browser_compute	trimmed	map-js-error	compile-mixed-compute-project	engine-source-semantics	compile typed canonical source through the browser mixed-compute frontend	compiler	Browser compute currently enters the parser through its crate-root re-export.
wasm.repl-format	mech-wasm	src/wasm/src/project.rs	repl_format_source	1	browser_project_core	trimmed	return-none	format-complete-code-only	typed-document	highlight a strictly valid canonical typed document	executable	Incomplete or documentation-like console input is not highlighted as code.
