cell-id	consumer-id	polarity	acceptance-name	frozen-input-policy	frozen-failure-policy	production-boundary	witness-source-or-test	execution-recipe	expected-result-or-policy	current-status	evidence	evidence-head	related-gaps	qualification-package
bundle-web.project.positive	bundle-web.project	positive	bundle-transitive-root-42	raw	propagate	bundle_web_project -> emitted CanonicalProgramBundle -> production browser loader	src/bundle_web.rs::canonical_bundle_root_executes_with_transitive_source_exports	cargo +nightly-2026-03-03 test --locked -p mech --no-default-features --features distribution-standard --lib canonical_bundle_root_executes_with_transitive_source_exports -- --nocapture; then serve output directory and load emitted code/demo.mec through WasmDocument.fromEncodedWithBundle with the emitted source map.	Root imports dep imports leaf(39); dep exports 40; root output 42. Bundle lists both dependency hashes; real page renders 42, and no old Program decoder participates.	blocked	Native producer test has historical evidence; real C WasmDocument payload decoder is incompatible. Producer-only pass does not prove loader execution.		G22	O04;O05
bundle-web.project.negative	bundle-web.project	negative	bundle-stale-transitive-rejection	raw	propagate	bundle_web_project producer and actual WasmDocument loader	src/bundle_web.rs::canonical_bundle_root_executes_with_transitive_source_exports;src/runtime/src/runtime/program/bundle.rs::canonical_bundle_rejects_stale_source_and_retired_tree_payload	cargo +nightly-2026-03-03 test --locked -p mech --no-default-features --features distribution-standard --lib canonical_bundle_rejects_missing_and_cyclic_dependencies -- --nocapture; in real browser load emitted root artifact while replacing only leaf source 39 with 100, then omit dep source in a second case.	Missing/cyclic dependency fails build. Actual browser rejects stale leaf or missing dep before activation, names the failed dependency, and preserves accepted output/state; retired Program payload is rejected.	blocked	Native producer/dependency validator demonstrates invalidation; exact real-loader stale-dependency witness blocked by G22.		G22	O04;O05
cli.compute-inline.positive	cli.compute-inline	positive	full-inline-configured-particle-and-ekf	trimmed	propagate	compile_inline_compute_application with normal CLI RunExecutionPlan and native runtime	src/cli/compute.rs::compile_inline_compute_application;examples/gpu-particles/particles.mec;examples/gpu-particles/mech.mcfg;examples/ekf/localization.mec;examples/ekf/mech.mcfg	In a CLI integration test load the checked-in particle configuration into the ordinary RunExecutionPlan, pass the complete source string to compile_inline_compute_application, install its factory and coordinator through the shipping CLI runtime, and submit two normal input/turn packets. Repeat the same entry using examples/ekf/localization.mec with examples/ekf/mech.mcfg through that identical native CLI entry.	Compilation attaches no driver and performs no execution. Configured authority is preserved; exact independent full-application particle/ EKF trace outputs and successive-turn state match the maintained reference. All coordinator setup, input defaults and outputs participate.	untested	Canonical mixed compiler and backend tests exist, but this exact complete-source native CLI entry is not established by a region-only compiler test.			O04;O05
cli.compute-inline.negative	cli.compute-inline	negative	inline-compute-invalid-input-before-effects	trimmed	propagate	compile_inline_compute_application and shipping CLI runtime	src/runtime/src/runtime/program/tests.rs::mixed_document_rejects_coordinator_input_with_the_wrong_shape_without_a_provider	Use the same full source/config as the positive cell; replace the coordinator assignment to a fixed compute port with an incompatible matrix shape, then request a nonexistent backend. Count provider plans, reads, driver starts, and output publication before and after the error.	Incompatible shape and unsupported backend return NativeComputeCliError or positioned canonical error before execution; no driver starts, effects or output publication; a subsequent valid compile still succeeds.	untested	Runtime mixed-planning negative test passes in C. It does not invoke the native CLI compute helper or backend installation.			O04;O05
cli.format.positive	cli.format	positive	actual-format-preserves-document-without-execution	trimmed	propagate	mech format -> cli::commands::format::run	tests/mech_format_shims.rs::mech_format_custom_shim_renders_all_supported_slots;tests/fixtures/syntax-source-boundary/document.mec	Run built mech format on a temporary copy of the frozen document fixture using --out; require raw output equals retained source. Repeat with --html --shim tests/fixtures/shims/static-no-controller.html and an output file. Include leading whitespace, CRLF and combining Unicode source.	Raw text retains exact content/coordinates. HTML renders front matter/prose/inline/fences/state syntax, leaves evaluation placeholders unexecuted, and emits no computed output or host effect.	untested	Prepared CanonicalCliSource tests prove renderer behavior; existing process shim tests are relevant but exact C source-content/error product cells remain unrun.			O04;O05
cli.format.negative	cli.format	negative	actual-format-malformed-publishes-nothing	trimmed	propagate	mech format -> cli::commands::format::run	tests/fixtures/syntax-source-boundary/malformed.mec;tests/mech_format_shims.rs::mech_format_unresolvable_standalone_dependencies_publish_nothing	Write value := [ with leading CRLF/Unicode into a temporary .mec; invoke raw and --html format to absent output paths. Separately run the existing missing-dependency process regression.	Malformed retained input returns a nonzero command error at the retained position; no output file, HTML, JS or WASM partial bundle is published. Original source remains intact.	untested	Canonical adapter rejects malformed input; actual output-publication command contract is distinct and must be checked on C.			O04;O05
cli.run-classification.positive	cli.run-classification	positive	inline-source-is-executable-not-a-path	trimmed	return-false	mech run -> parses_as_executable_run_source	tests/mech_cli_host.rs::mech_run_single_quoted_formula_with_slash_is_inline_source;tests/mech_cli_host.rs::mech_run_inline_source_preserves_define_token	cargo +nightly-2026-03-03 test --locked -p mech --no-default-features --features distribution-standard --test mech_cli_host mech_run_single_quoted_formula_with_slash_is_inline_source -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech --no-default-features --features distribution-standard --test mech_cli_host mech_run_inline_source_preserves_define_token -- --nocapture	Single argv 1 / 2 and separate argv x := 1 classify as complete source and execute successfully; slash is not treated as filesystem path and := is not discarded.	untested	Tests invoke actual subprocess route; this audit did not rerun them on exact C. Prepared classifier positives are not process evidence.			O04;O05
cli.run-classification.negative	cli.run-classification	negative	inert-and-malformed-source-do-not-classify	trimmed	return-false	parses_as_executable_run_source through the shipping command classifier	src/cli/canonical_source.rs::canonical_cli_classifier_excludes_inert_local_and_malformed_source	Invoke the actual private classifier in a root-package unit regression with plain prose, displayed {{code}}, disabled fence, Mika-only source, and value := [; then use the same strings as mech run argv where applicable.	Classifier returns false for each inert/incomplete source; no local/disabled code executes or causes provider planning. Process reports non-source/unresolved input rather than treating malformed input as valid executable source.	untested	Prepared classifier already has these source cases; actual classifier delegates to canonical syntax, but that exact function/argv negative accounting must be recorded.			O04;O05
engine.frozen-ekf.positive	engine.frozen-ekf	positive	frozen-ekf-source-bytecode-4096-turns	trimmed	propagate	compile_frozen_ekf_product through canonical semantic frontend	src/engine/tests/resident_ekf_artifact_closure.rs::ordinary_source_and_bytecode_close_the_same_frozen_artifact;src/engine/tests/resident_ekf_program_execution.rs::source_and_bytecode_artifacts_execute_the_complete_frozen_trace	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test resident_ekf_artifact_closure ordinary_source_and_bytecode_close_the_same_frozen_artifact -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test resident_ekf_program_execution source_and_bytecode_artifacts_execute_the_complete_frozen_trace -- --nocapture	Exact frozen source: 25 artifact nodes, 15 resident kernels, 3 integrity predicates, 2 state updates and 3 constraints; one frame resource/observation; source and decoded artifact run 4096 turns against retained independent reference/hash.	untested	Existing exact test is the correct frozen efficacy boundary. No fresh exact-C run for this target is in the audit validation record. It does not stand in for configured full EKF application tests.			O04;O05
engine.frozen-ekf.negative	engine.frozen-ekf	negative	frozen-ekf-changed-contract-rejected	trimmed	propagate	compile_frozen_ekf_product semantic admission before activation	src/engine/tests/resident_ekf_artifact_closure.rs::changed_frozen_constant_is_rejected_by_semantic_admission;src/engine/src/efficacy/ekf/closure.rs::second_observation_root_is_rejected_before_activation	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test resident_ekf_artifact_closure changed_frozen_constant_is_rejected_by_semantic_admission -- --nocapture; after G23: cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --lib second_observation_root_is_rejected_before_activation -- --nocapture	Replacing dt := 0.05 with 0.06 reports FrozenEkfArtifactClosureError; second observation root rejects before activation. No relaxed constants, alternate trace or extra input authority.	blocked	Integration negative exists but is unrun in this audit; engine-lib second-observation witness is currently blocked by 44 deleted-parser test build references.		G23	O04;O05
