method	responsibility	replacement	retirement	distinctive-existing-witnesses	open-obligation	basic-probe-limit
compile_source	ordinary artifact compilation	canonical shared implementation at C	keep responsibility; adopt canonical route	compiler_entry_point_witnesses; canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	O02: nonempty provider inputs and effects beyond answer := 42; semantic gaps apply	empty inputs/single literal do not prove the distinctive contract
compile_document	ordinary artifact compilation	canonical shared implementation at C	keep responsibility; adopt canonical route	compiler_entry_point_witnesses; canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	O02: nonempty provider inputs and effects beyond answer := 42; semantic gaps apply	empty inputs/single literal do not prove the distinctive contract
compile_canonical_root	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_canonical_resolved_root	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_canonical_roots	ordered graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_ordered_roots_share_prior_definitions_and_reject_invalid_edges; ordered_transitive_explicit_root_witness	G16; O02: transitive provider count, cross-root function resources, later-root rollback	empty inputs/single literal do not prove the distinctive contract
compile_canonical_interactive_root	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_canonical_interactive_resolved_root	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_canonical_root_with_options	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_canonical_interactive_root_with_options	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_canonical_resolved_root_with_options	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_canonical_interactive_resolved_root_with_options	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_interactive_document	interactive output and lifecycle	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_interactive_uses_configured_resource_planning; canonical_interactive_resource_planning_does_not_execute_host_effects	O02; O04: actual accepted/rejected publication through production factory	empty inputs/single literal do not prove the distinctive contract
compile_canonical_source	ordinary artifact compilation	canonical shared implementation at C	keep responsibility; adopt canonical route	compiler_entry_point_witnesses; canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	O02: nonempty provider inputs and effects beyond answer := 42; semantic gaps apply	empty inputs/single literal do not prove the distinctive contract
compile_tree	ordinary artifact compilation	compile_document	G21: old tree authority remains at C	compiler_entry_point_witnesses; canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	O02: nonempty provider inputs and effects beyond answer := 42; semantic gaps apply	empty inputs/single literal do not prove the distinctive contract
compile_interactive_tree	interactive output and lifecycle	compile_interactive_document	G21: old tree authority remains at C	canonical_interactive_uses_configured_resource_planning; canonical_interactive_resource_planning_does_not_execute_host_effects	O02; O04: actual accepted/rejected publication through production factory	empty inputs/single literal do not prove the distinctive contract
