schemas	responsibility	source-or-value-construction	expected-result	evidence-status	witness-source	witness-test	witness-command	evidence-head	related-gaps	proof-limit	cell-id
Bool;UnsignedInteger;SignedInteger;FloatingPoint;Complex;Rational64;String;Id;Index;Atom;Enum;Option;Tuple;Record;Matrix;Table;Set;Map;ReifiedType	artifact constant codec identity	Exact ValueDrafts in bytecode_v1_round_trips_every_c2_snapshot_family: all integer widths,f32/f64,c32/c64,r64,bool,string,Id7,Index8,nominal atom,one payload enum,Option<f64>,tuple(bool,string),record,parameterized matrix-of-tuples,table,set<u8>,map<string,option<f64>>,two reified forms.	Decoded constant count, schema keys, value hashes and shape parameters equal original. Dynamic is absent from this test.	existing-test-not-recorded-in-audit-validation	src/engine/tests/program_artifact_contract.rs:2773	bytecode_v1_round_trips_every_c2_snapshot_family	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test program_artifact_contract bytecode_v1_round_trips_every_c2_snapshot_family -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		ProgramArtifact contains no nodes, inputs or outputs; this is not frontend admission or resident publication evidence.	Q01
Dynamic;Option;Matrix	dynamic optional payload construction and live publication	x<*?> := signal<[f64]:r,c> for1x2,2x2,0x2; two inputs separated by10.	Option(Some(Dynamic(Matrix))) retains exact payload matrix schema, dimensions and row-major elements on both turns.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:35	dynamic_options_preserve_live_matrix_payloads_and_canonical_element_order	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures dynamic_options_preserve_live_matrix_payloads_and_canonical_element_order -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		This test executes direct artifact, not decoded artifact; Q03 exercises decoded dynamic construction.	Q02
Dynamic;Table;Matrix;Record;Tuple	foreign dynamic payload rebinding through table join	Dynamic payload snapshot from a foreign schema table, inserted into canonical table and joined.	Foreign schema identity/value rebinding survives direct/decoded artifact execution and updated payload; existing Dynamic is wrapped once.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:1149	composite_foreign_dynamic_payload_reaches_canonical_table_and_join	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures composite_foreign_dynamic_payload_reaches_canonical_table_and_join -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q03
Tuple;Record;Map;Table;Atom;Bool;FloatingPoint	composite constructors preserve child identity and order	x=(signal<f64>,true); record{z:signal,a:true}; map{2:signal,1:9}; :some(signal); table(a<f64>,b<bool>); nested record/map tuple; signals3,7.	Decoded artifact publishes exact ValueDataDrafts; record fields retain source order; map keys canonical order; :some is Atom-tagged Tuple rather than Enum or Option; child updates preserved.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:116	canonical_composite_construction_roundtrips_and_tracks_live_children	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures canonical_composite_construction_roundtrips_and_tracks_live_children -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q04
Map	duplicate live key rejection is atomic	x := {key<f64>:10,2:20}; key1 then2 then3.	Key2 duplicate causes InvalidInput; prior map remains published; key3 retry succeeds with canonical key order2,3.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:212	canonical_map_duplicate_live_keys_fail_before_publication	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures canonical_map_duplicate_live_keys_fail_before_publication -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q05
Record;Table;Matrix	annotations preserve nested live matrix schemas	Exact compound record/table annotations with live matrix children from test.	Source annotation and current child shape agree after direct/decoded execution; field/column ownership preserved.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:259	compound_record_and_table_annotations_preserve_live_matrix_children	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures compound_record_and_table_annotations_preserve_live_matrix_children -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q06
Tuple	zero-field tuple materialization	x := ().	Empty tuple construction has no synthetic template dependency.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:338	empty_tuple_construction_has_no_synthetic_template_dependency	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures empty_tuple_construction_has_no_synthetic_template_dependency -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		Distinct from unresolved Empty expression _.	Q07
Option;Tuple;Record;Matrix;Map;Table;Atom	contextual absence and nested optional materialization	Exact annotated absent option, matrices of optionalu8/f64, record missing field, map<u8,record<option>>,table record column,Atom-tagged record tuple; signals3,7.	Direct/decoded artifacts preserve closed output schema and exact None/Some nested data on two turns; empty pseudo-values never materialize.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:816	contextual_composite_empty_values_survive_codec_and_two_resident_turns	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures contextual_composite_empty_values_survive_codec_and_two_resident_turns -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q08
Matrix;Tuple	fixed-population logical-read shape contract	(signal<[f64]:2,2>, signal[mask<[bool]:1,2>,:]); activation selected-child shape population1; masks[1,0],[0,1],[1,1],[0,0].	No activation fact -> UnresolvedShape. Population1 masks produce correct changed row. Populations2/0 -> InvalidShape with prior publication intact; valid retry succeeds.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:545	composed_live_mask_shapes_require_facts_and_reject_extent_changes_atomically	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures composed_live_mask_shapes_require_facts_and_reject_extent_changes_atomically -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G17	Existing contract fixes selected population at activation. This does not promise changing-cardinality masks; G17 must resolve compiler provision of facts separately.	Q09
Matrix;Tuple;Bool	literal-mask selection order with changed live values	(signal<[f64]:2,2>, signal[[false true],:]); canonical physical-to-row-major inputs1/3/2/4 then10/30/20/40.	Decoded artifact publishes full matrix[1,2,3,4] and selected[3,4], then scaled values in same order.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_completion.rs:213	selection_reads_live_matrix_values_in_canonical_order	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_completion selection_reads_live_matrix_values_in_canonical_order -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q10
