cell-id	owning-layer	responsibility	positive-witness-json	negative-or-boundary-witness-json	expected-result	evidence-status	related-gaps	proof-limit
R01	canonical syntax certification	80 direct Phase 2I parse/typed-access/recovery contracts	"{""table"":""docs/design/grammar-audit/phase-2i-certification.tsv"",""columns"":[""accepted-source-json"",""emission-policy"",""syntax-kind"",""typed-access-hash""],""test"":{""path"":""src/syntax/tests/canonical_phase_2i_certification.rs"",""test"":""certification_table_executes_every_direct_accept_reject_and_recovery_case""}}"	"{""table"":""docs/design/grammar-audit/phase-2i-certification.tsv"",""columns"":[""rejected-source-json"",""recovery-source-json"",""recovery-snapshot-hash""],""test"":{""path"":""src/syntax/tests/canonical_phase_2i_certification.rs"",""test"":""certification_table_executes_every_direct_accept_reject_and_recovery_case""}}"	For each of the 80 exact rows: accepted case consumes the full input with declared typed emission; rejected case rejects; recovery preserves lossless source and the declared normalized diagnostics/tree.	existing-paired-syntax-test-source-inspected;not-rerun		80 rule contracts, not 80 runtime capabilities. Structural fragments have no independent evaluator.
R02	canonical syntax certification	112 direct S7 document-root/dependency syntax contracts and exact 131 disposition inventory	"{""table"":""docs/design/grammar-audit/s7-document-certification.tsv"",""test"":{""path"":""src/syntax/tests/canonical_s7_document_certification.rs"",""test"":""every_s7_rule_has_a_clean_specification_derived_source""}}"	"{""test"":{""path"":""src/syntax/tests/canonical_s7_document_certification.rs"",""test"":""s7_dispositions_cover_the_exact_remaining_inventory""},""policy"":""The 17 command rules and 2 outside-closure rules must remain inactive document grammar entries. Document prose fallback is not a syntax error solely because a richer alternative did not match.""}"	112 sources match with no diagnostics, full consumption, lossless text and declared typed node; all 131 rows have their exact maintained/document/historical/outside disposition.	existing-positive-syntax-and-inventory-tests-source-inspected;not-rerun		This test has no per-rule malformed-source matrix and proves no execution. Negative runtime/recovery obligations belong to named scope/consumer cells; do not report 131 positive programs.
R03	runtime typed REPL request parser	17 historical grammar rows are retired document entries; current command registry owns requests	"{""test"":{""path"":""src/runtime/src/repl_command.rs"",""test"":""registry_ids_are_unique_and_parser_covers_every_command""},""row_cases"":""rule-acceptance-links.tsv command-positive-json""}"	"{""test"":{""path"":""src/runtime/src/repl_command.rs"",""test"":""request_parser_is_the_single_source_and_command_boundary""},""row_cases"":""rule-acceptance-links.tsv command-negative-json""}"	Each supported command becomes the named ReplCommand variant; non-colon source becomes SubmitSource; malformed arity/quotes/counts reject; :symbols and :s remain Unknown command.	existing-registry-and-boundary-tests;missing-per-command-negative-table		The exact missing negative table is the 17 finite row cases, not 17 implementation defects. This proves parser ownership; dispatch effects remain consumer REPL obligations.
R04	canonical semantic certification	review shape-sensitive evidence before refreshing fingerprints	"{""test"":{""path"":""src/engine/tests/canonical_phase_2i_semantic_certification.rs"",""test"":""every_semantic_rule_meets_its_required_witness_outcome""}}"	"{""test"":{""path"":""src/engine/tests/canonical_phase_2i_semantic_certification.rs"",""test"":""semantic_evidence_distinguishes_non_wire_shape_values_and_slot_ownership""}}"	Artifact outcomes match declared executable/compile-time/expected-user-error contracts; a true non-wire shape and a different owner produce distinct evidence after constant-shape specialization.	recorded-failure;replacement-witness-required	G24	The two failures share certification maintenance responsibility. Fingerprint agreement does not independently prove runtime values.
R05	canonical expression lowering	precedence and parentheses across executable formula layers	"{""sources"":[""2 + 3 * 4"",""2 * 3 ^ 2"",""1 + 2 == 3 && true"",""(2 + 3) * 4"",""(2 * 3) ^ 2""],""expected"":[14,18,true,20,36]}"	"{""test"":{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""promoted_arithmetic_executes_with_live_operands""},""boundary"":""parentheses must produce the different listed values; each operation also uses its catalog group domain/layout negative cells""}"	ProgramCompiler compile_document plus direct and decoded artifact executions produce exact listed values on two turns; live promoted operand test produces 260 then 251.	explicit-new-precedence-pair-required		Five fixed source cases close precedence accounting. Operator kind/domain/layout coverage is the linked catalog matrix, not these five constants.
R06	canonical literal and named-call admission	positive execution for families whose grammar certification used an expected user error	"{""test"":{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""expected_error_families_also_have_positive_call_and_literal_execution""}}"	"{""test"":{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""unresolved_empty_and_unknown_calls_are_anchored_user_errors""}}"	Literal1 executes as1; math/add(signal,2) executes3 then9; bare _ rejects unresolved-empty-expression at _; not-declared rejects unknown-function at its name.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R07	resident comprehension baseline and lexical binding	working matrix/set generator, filter, primitive destructuring and repeated-binding filtering	"{""tests"":[{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""comprehension_executes_generator_filter_and_yield""},{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""structured_patterns_read_live_components_and_reject_partial_matches""}]}"	"{""test"":{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""structured_patterns_read_live_components_and_reject_partial_matches""},""boundary"":""changing tuple pair (2,2) to (8,2) removes that candidate for repeated pattern (x,x), preserving remaining3""}"	Filtered increment yields matrix[3,4] and set{3,4}; tuple destructuring yields[3,7] then[10,7]; repeated tuple/array patterns yield[2,3] then[3].	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R08	resident control retained value storage	G06 exact kind and compound comprehension payloads	"{""fixtures"":[""comprehension-i32"",""comprehension-string"",""comprehension-composite""],""fixture-file"":""tests/fixtures/s8-replacement-audit/semantic-cases.json"",""expected"":[""Matrix<i32>[2,3] shape1x2"",""Matrix<String>[a,b] shape1x2"",""Matrix<Tuple<f64,bool>>[(1,true),(2,true)] shape1x2""]}"	"{""construction"":""Repeat the same captures/yields using schema acceptance QT-* and QG-* exact values; mismatched captured schema must reject before publication with unchanged epoch and state hash. Use empty filtered output of the same closed element kind as a valid boundary.""}"	Direct and decoded artifacts retain exact element schema, row-major value and empty output schema through two turns; rejected value binding cannot publish.	recorded-valid-lowering-or-activation-failures;paired-value-tests-required	G06	Three manifestations share retained storage owner; no new grammar evaluator for each pattern. Existing fixtures omitted values, so the typed expectations here must be encoded in the corrective tests.
R09	canonical nested control graph and collection shape ownership	G07 nested comprehension and match inside comprehension	"{""fixtures"":[""comprehension-match"",""comprehension-nested""],""fixture-file"":""tests/fixtures/s8-replacement-audit/semantic-cases.json"",""expected"":[""Matrix<f64>[10,20] shape1x2"",""Matrix<Matrix<f64>:1x2>[[2,3],[3,4]] outer1x2""]}"	"{""construction"":""Run the same nested body with xs empty and with xs=[2 3]; assert empty outer shape and [[4,5],[5,6]], respectively. Inject a captured input with wrong declared inner element schema and assert failure before publishing.""}"	Nested producers share canonical control blocks and current shape facts; lexical x and z remain distinct; no unselected branch evaluation or fabricated closed dimensions.	recorded-lowering-failures;paired-nested-control-tests-required	G07	This owns constructing the nested producer. Downstream consumption of an already valid dynamic collection is R15/G18.
R10	canonical computed-pattern evaluation	G08 expression pattern with captures and ordered filtering	"{""source"":""y := [1 | 1 + 1 <- [2 3]]\ny\n"",""expected"":""Matrix<f64>[1] shape1x1""}"	"{""sources"":[""base := 1\ny := [1 | base + 1 <- [2 3]]\ny\n"",""base := 2\ny := [1 | base + 1 <- [2 3]]\ny\n"",""base := 3\ny := [1 | base + 1 <- [2 3]]\ny\n""],""expected"":[""[1]"",""[1]"",""empty matrix of f64""]}"	Computed pattern evaluates its lexical expression, filters nonmatching elements, and yields exactly one1 or no rows; both artifact representations agree with these explicit values.	recorded-lowering-failure;paired-computed-pattern-tests-required	G08	Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
