contract-id	responsibility	owning-layer	fixture-id	source-json	positive-milestone-oracle-json	current-compiler-contract	current-activation-contract	expected-rejection-stage	expected-rejection-detail	current-target-evidence-status	milestone-capability-status	accepted-milestone-exclusion	evidence	execution-recipe	proof-limit	cell-id
G02	pure semantic artifact admission; separate physical target rejection and positive capability	Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding	numeric-u64-pow	"""a := 2<u64> ^ 2<u64>\na == 4<u64>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-POWER: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-u64-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-u64-pow
G02	pure semantic artifact admission; separate physical target rejection and positive capability	Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding	numeric-u128-pow	"""a := 2<u128> ^ 2<u128>\na == 4<u128>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-POWER: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-u128-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-u128-pow
G02	pure semantic artifact admission; separate physical target rejection and positive capability	Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding	numeric-i8-pow	"""a := 2<i8> ^ 2<i8>\na == 4<i8>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-POWER: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-i8-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-i8-pow
G02	pure semantic artifact admission; separate physical target rejection and positive capability	Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding	numeric-i16-pow	"""a := 2<i16> ^ 2<i16>\na == 4<i16>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-POWER: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-i16-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-i16-pow
G02	pure semantic artifact admission; separate physical target rejection and positive capability	Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding	numeric-i32-pow	"""a := 2<i32> ^ 2<i32>\na == 4<i32>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-POWER: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-i32-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-i32-pow
G02	pure semantic artifact admission; separate physical target rejection and positive capability	Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding	numeric-i64-pow	"""a := 2<i64> ^ 2<i64>\na == 4<i64>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-POWER: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-i64-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-i64-pow
G02	pure semantic artifact admission; separate physical target rejection and positive capability	Power target implementation: machines/math/src/ops/pow.rs plus engine resident numeric power binding	numeric-i128-pow	"""a := 2<i128> ^ 2<i128>\na == 4<i128>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-POWER: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-i128-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-i128-pow
G02	pure semantic artifact admission; separate physical target rejection and positive capability	C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels	scalar-c32	"""~a := 1<c32>\na += 1<c32>\na == 2<c32>\n"""	"[""true"", ""false""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-C32: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=scalar-c32 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-scalar-c32
G02	pure semantic artifact admission; separate physical target rejection and positive capability	C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels	numeric-c32-add	"""a := 6<c32> + 2<c32>\na == 8<c32>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-C32: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-c32-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-c32-add
G02	pure semantic artifact admission; separate physical target rejection and positive capability	C32 arithmetic/reduction/selected-update target implementation: engine resident numeric binding and math/stats typed kernels	numeric-c32-sub	"""a := 6<c32> - 2<c32>\na == 4<c32>\n"""	"[""true"", ""true""]"	compile_document and artifact bytecode encoding/decoding succeed; no mandatory temporary activation for pure no-value plans	configured resident activation rejects before turn execution/publication	activation	KernelBind { node: NodeId(0), error: UnsupportedLayout }	recorded-direct-and-decoded-rejection-contract-pass	CAP-C32: unimplemented capability; explicit scope acceptance pending, not completed by rejection	None established by this audit; current factory/shape limitations are not scope approval.	s8-audit-published-contracts.log; KernelBind { node: NodeId(0), error: UnsupportedLayout }	MECH_AUDIT_CASE=numeric-c32-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	Existing probe reaches direct activation after both artifacts are built; it stops at first direct rejection, so decoded activation rejection is not separately executed. Original positive expected values are preserved here. Correcting current-target rejection does not satisfy the positive milestone witness.	TR-numeric-c32-sub
