inventory	rule	declared-disposition	witness	behavior-evidence	related-gaps	open-obligation	acceptance-boundary
phase-2i	argument-list	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	binding	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	brace-subscript	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	bracket-subscript	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	call-arg	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	call-arg-with-binding	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	comprehension-qualifier	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only	G06;G07;G08;G18	O06	rule membership alone does not certify all semantic uses
phase-2i	expression	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	factor	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	fancy-table	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	fancy-table-header	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	field	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	formula	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	formula-subscript	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	fsm-args	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
phase-2i	fsm-async-transition	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
phase-2i	fsm-instance	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
phase-2i	fsm-output	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
phase-2i	fsm-pipe	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G14	O06	rule membership alone does not certify all semantic uses
phase-2i	fsm-state-transition	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
phase-2i	fsm-value	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
phase-2i	function-call	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G19;G20	O06	rule membership alone does not certify all semantic uses
phase-2i	generator	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only	G06;G07;G08;G18	O06	rule membership alone does not certify all semantic uses
phase-2i	header-field	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	inline-table	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	inline-table-header	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	inline-table-row	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	kind	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G12	O06	rule membership alone does not certify all semantic uses
phase-2i	kind-annotation	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G12	O06	rule membership alone does not certify all semantic uses
phase-2i	kind-kind	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G13	O06	rule membership alone does not certify all semantic uses
phase-2i	kind-map	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	kind-matrix	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G13	O06	rule membership alone does not certify all semantic uses
phase-2i	kind-record	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	kind-scalar	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G12	O06	rule membership alone does not certify all semantic uses
phase-2i	kind-set	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	kind-table	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	kind-tuple	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	kind-with-option	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	l1	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	l2	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	l3	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	l4	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	l5	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
