grammar-name	accepted-source-json	node-policy	semantic-status	spec-location
abstract-el	"%%x\n"	node:AbstractEl	syntax-only	docs/design/specification.mec::abstract-el
activation-arm	"|42=>{}"	node:ActivationArm	syntax-only	docs/design/specification.mec::activation-arm
activation-scope	"~>1 + 2{}"	node:ActivationScope	syntax-only	docs/design/specification.mec::activation-scope
alignment-separator	"-"	node:AlignmentSeparator	syntax-only	docs/design/specification.mec::alignment-separator
body	""	node:Body	syntax-only	docs/design/specification.mec::body
center-alignment	":-:"	node:CenterAlignment	syntax-only	docs/design/specification.mec::center-alignment
check-list	"-[]x\n"	node:CheckList	syntax-only	docs/design/specification.mec::check-list
check-list-item	"-[]x\n"	node:CheckListItem	syntax-only	docs/design/specification.mec::check-list-item
checked-item	"-[x]x\nx\n"	node:CheckedItem	syntax-only	docs/design/specification.mec::checked-item
citation	"[a]:x"	node:Citation	syntax-only	docs/design/specification.mec::citation
code-block	"```\n```"	node:CodeBlock	syntax-only	docs/design/specification.mec::code-block
code-terminal	""	node:CodeTerminal	syntax-only	docs/design/specification.mec::code-terminal
context-send	"x<u8><-1 + 2"	node:ContextSend	syntax-only	docs/design/specification.mec::context-send
emphasis	"*x*"	node:Emphasis	syntax-only	docs/design/specification.mec::emphasis
empty-paragraph	""	node:EmptyParagraph	syntax-only	docs/design/specification.mec::empty-paragraph
enum-define	"<x>:=x"	node:EnumDefine	syntax-only	docs/design/specification.mec::enum-define
enum-variant	"x"	node:EnumVariant	syntax-only	docs/design/specification.mec::enum-variant
enum-variant-inline-kind	"<u8>"	node:EnumVariantInlineKind	syntax-only	docs/design/specification.mec::enum-variant-inline-kind
enum-variant-kind	"(<u8>)"	node:EnumVariantKind	syntax-only	docs/design/specification.mec::enum-variant-kind
error-block	"(x)>x\n"	node:ErrorBlock	syntax-only	docs/design/specification.mec::error-block
eval-inline-mech-code	"{1 + 2}"	node:EvalInlineMechCode	syntax-only	docs/design/specification.mec::eval-inline-mech-code
figure-item	"![](x)"	node:FigureItem	syntax-only	docs/design/specification.mec::figure-item
figures	"|![](x)|"	node:Figures	syntax-only	docs/design/specification.mec::figures
figures-row	"|![](x)|"	node:FiguresRow	syntax-only	docs/design/specification.mec::figures-row
float	":>>x"	node:Float	syntax-only	docs/design/specification.mec::float
float-sigil	":>>"	node:FloatSigil	syntax-only	docs/design/specification.mec::float-sigil
footnote	"[^x]:x\n"	node:Footnote	syntax-only	docs/design/specification.mec::footnote
fsm	"#x"	node:Fsm	syntax-only	docs/design/specification.mec::fsm
fsm-arm	"42 |42 ->+> x"	node:FsmArm	syntax-only	docs/design/specification.mec::fsm-arm
fsm-block-transition	"->{}"	node:FsmBlockTransition	syntax-only	docs/design/specification.mec::fsm-block-transition
fsm-comment-arm	"--"	node:FsmCommentArm	syntax-only	docs/design/specification.mec::fsm-comment-arm
fsm-declare	"#x:=#machine -> :next => :value"	node:FsmDeclare	syntax-only	docs/design/specification.mec::fsm-declare
fsm-guard	"|42 ->+> x"	node:FsmGuard	syntax-only	docs/design/specification.mec::fsm-guard
fsm-guard-arm	"42|42 ->+> x"	node:FsmGuardArm	syntax-only	docs/design/specification.mec::fsm-guard-arm
fsm-implementation	"#machine(x) -> :start\n:start |42 ->+> x\n."	node:FsmImplementation	syntax-only	docs/design/specification.mec::fsm-implementation
fsm-specification	"#x()|:state."	node:FsmSpecification	syntax-only	docs/design/specification.mec::fsm-specification
fsm-state-definition	"|:state"	node:FsmStateDefinition	syntax-only	docs/design/specification.mec::fsm-state-definition
fsm-state-definition-variables	"(x<u8>)"	node:FsmStateDefinitionVariables	syntax-only	docs/design/specification.mec::fsm-state-definition-variables
fsm-statement-transition	"->+> x"	node:FsmStatementTransition	syntax-only	docs/design/specification.mec::fsm-statement-transition
fsm-transition	"42 ->{}"	node:FsmTransition	syntax-only	docs/design/specification.mec::fsm-transition
function-arg	"x<u8>"	node:FunctionArg	syntax-only	docs/design/specification.mec::function-arg
function-define	"x()=><u8> |1 + 2"	node:FunctionDefine	syntax-only	docs/design/specification.mec::function-define
function-define-match-arms	"=><u8> |1 + 2"	node:FunctionDefineMatchArms	syntax-only	docs/design/specification.mec::function-define-match-arms
function-define-statements	"=out<u8>:=value:=1."	node:FunctionDefineStatements	syntax-only	docs/design/specification.mec::function-define-statements
function-match-arm	"|1 + 2"	node:FunctionMatchArm	syntax-only	docs/design/specification.mec::function-match-arm
function-out-arg	"x<u8>"	node:FunctionOutArg	syntax-only	docs/design/specification.mec::function-out-arg
function-out-args	"(x<u8>)"	node:FunctionOutArgs	syntax-only	docs/design/specification.mec::function-out-args
highlight	"!!x!!"	node:Highlight	syntax-only	docs/design/specification.mec::highlight
hyperlink	"[x](x)"	node:Hyperlink	syntax-only	docs/design/specification.mec::hyperlink
idea-block	"(*)>x\n"	node:IdeaBlock	syntax-only	docs/design/specification.mec::idea-block
img	"![](x)"	node:Img	syntax-only	docs/design/specification.mec::img
info-block	"(i)>x\n"	node:InfoBlock	syntax-only	docs/design/specification.mec::info-block
inline-mech-code	"{{1}}"	node:InlineMechCode	syntax-only	docs/design/specification.mec::inline-mech-code
inline-paragraph	"x"	node:InlineParagraph	syntax-only	docs/design/specification.mec::inline-paragraph
invariant-define	"x!:=1 + 2"	node:InvariantDefine	syntax-only	docs/design/specification.mec::invariant-define
kind-define	"<x>:=<u8>"	node:KindDefine	syntax-only	docs/design/specification.mec::kind-define
left-alignment	":-"	node:LeftAlignment	syntax-only	docs/design/specification.mec::left-alignment
mech-code	"--"	node:MechCode	syntax-only	docs/design/specification.mec::mech-code
mech-code-alt	"--"	node:MechCodeAlt	syntax-only	docs/design/specification.mec::mech-code-alt
mechdown-list	"- x\n"	node:MechdownList	syntax-only	docs/design/specification.mec::mechdown-list
mechdown-table	"| |"	node:MechdownTable	syntax-only	docs/design/specification.mec::mechdown-table
mechdown-table-header	"|x||-|"	node:MechdownTableHeader	syntax-only	docs/design/specification.mec::mechdown-table-header
mechdown-table-no-header	"| |"	node:MechdownTableNoHeader	syntax-only	docs/design/specification.mec::mechdown-table-no-header
mechdown-table-row	"| |"	node:MechdownTableRow	syntax-only	docs/design/specification.mec::mechdown-table-row
mechdown-table-with-header	"|x||-|| |"	node:MechdownTableWithHeader	syntax-only	docs/design/specification.mec::mechdown-table-with-header
micro-mika	"╭◉╮"	node:MicroMika	syntax-only	docs/design/specification.mec::micro-mika
mika	"╭◉╮"	node:Mika	syntax-only	docs/design/specification.mec::mika
mika-arm-left	"~"	node:MikaArmLeft	syntax-only	docs/design/specification.mec::mika-arm-left
mika-arm-right	"~"	node:MikaArmRight	syntax-only	docs/design/specification.mec::mika-arm-right
mika-expression-inner	"¬◯¬"	node:MikaExpressionInner	syntax-only	docs/design/specification.mec::mika-expression-inner
mika-eye-left	"¬"	node:MikaEyeLeft	syntax-only	docs/design/specification.mec::mika-eye-left
mika-eye-right	"¬"	node:MikaEyeRight	syntax-only	docs/design/specification.mec::mika-eye-right
mika-nose	"◉"	node:MikaNose	syntax-only	docs/design/specification.mec::mika-nose
mika-section	"⸢⸥"	node:MikaSection	syntax-only	docs/design/specification.mec::mika-section
mini-mika	"(◉◯◉)"	node:MiniMika	syntax-only	docs/design/specification.mec::mini-mika
no-alignment	"-"	node:NoAlignment	syntax-only	docs/design/specification.mec::no-alignment
not-mech-code	"⸥"	node:NotMechCode	syntax-only	docs/design/specification.mec::not-mech-code
op-assign	"x += 1 + 2"	node:OpAssign	syntax-only	docs/design/specification.mec::op-assign
option-map	"{x:x}"	node:OptionMap	syntax-only	docs/design/specification.mec::option-map
option-mapping	"x:x"	node:OptionMapping	syntax-only	docs/design/specification.mec::option-mapping
option-value	"x"	node:OptionValue	syntax-only	docs/design/specification.mec::option-value
ordered-list	"1.x\n"	node:OrderedList	syntax-only	docs/design/specification.mec::ordered-list
ordered-list-item	"1.x\n"	node:OrderedListItem	syntax-only	docs/design/specification.mec::ordered-list-item
paragraph	"x"	node:Paragraph	syntax-only	docs/design/specification.mec::paragraph
paragraph-element	"x"	node:ParagraphElement	syntax-only	docs/design/specification.mec::paragraph-element
paragraph-newline	"x\n"	node:ParagraphNewline	syntax-only	docs/design/specification.mec::paragraph-newline
parse	""	root:Document	certified	docs/design/specification.mec::parse
parse-mech	""	transparent	syntax-only	docs/design/specification.mec::parse-mech
program	""	transparent	syntax-only	docs/design/specification.mec::program
prompt	">:x"	node:Prompt	syntax-only	docs/design/specification.mec::prompt
question-block	"(?)>x\n"	node:QuestionBlock	syntax-only	docs/design/specification.mec::question-block
quote-block	">x\n"	node:QuoteBlock	syntax-only	docs/design/specification.mec::quote-block
right-alignment	"-:"	node:RightAlignment	syntax-only	docs/design/specification.mec::right-alignment
section	""	node:Section	syntax-only	docs/design/specification.mec::section
section-element	"x"	node:SectionElement	syntax-only	docs/design/specification.mec::section-element
slice-ref	"x"	node:SliceRef	syntax-only	docs/design/specification.mec::slice-ref
statement	"+> x"	node:Statement	syntax-only	docs/design/specification.mec::statement
strikethrough	"~x~"	node:Strikethrough	syntax-only	docs/design/specification.mec::strikethrough
