consumer-id	frozen-owner	source-path	caller	input-policy	failure-policy	candidate-route-state	evidence-boundary	positive-witness	negative-witness	related-gaps	open-obligation	final-entry
bundle-web.project	B	src/bundle_web.rs	bundle_web_project	raw	propagate	canonical adapter/path present; full product qualification distinct	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical_bundle_root_executes_with_transitive_source_exports (producer passed); actual C browser bootstrap still required	canonical_bundle_rejects_stale_source_and_retired_tree_payload; real-WASM stale transitive dependency test remains required	G22	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	bundle_web_project canonical render/artifact publication and real loader
cli.compute-inline	B	src/cli/compute.rs	compile_inline_compute_application	trimmed	propagate	canonical adapter/path present; full product qualification distinct	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical_mixed_document_owns_partitioning_and_typed_initializers; canonical_mixed_document_retains_batched_activation_values; actual CLI application witness required	mixed_document_rejects_coordinator_input_with_the_wrong_shape_without_a_provider (C); malformed/unsupported CLI activation still requires product witness		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	compile_inline_compute_application through canonical mixed compiler
cli.format	A	src/cli/commands/format/mod.rs	run	trimmed	propagate	canonical adapter/path present; full product qualification distinct	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical_cli_format_adapter_preserves_raw_coordinates_and_rejects_malformed_input: retained Unicode/CRLF text and canonical text/HTML rendering	canonical_cli_format_adapter_preserves_raw_coordinates_and_rejects_malformed_input: malformed retained input rejects both renderers		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	Canonical document renderer through format::run
cli.run-classification	A	src/cli/run/mod.rs	parses_as_executable_run_source	trimmed	return-false	canonical adapter/path present; full product qualification distinct	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical_cli_classifier_excludes_inert_local_and_malformed_source: executable root and evaluated inline source classify true	canonical_cli_classifier_excludes_inert_local_and_malformed_source: prose, displayed code, disabled/Mika-local and malformed source classify false		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	DocumentSyntax::contains_executable_source through parses_as_executable_run_source
engine.frozen-ekf	B	src/engine/src/efficacy/ekf/closure.rs	compile_frozen_ekf_product	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C canonical consumer integration suites: 134 passing; exact per-row witness below	ordinary_source_and_bytecode_close_the_same_frozen_artifact; public_ekf_artifact_activates_into_generic_storage_without_a_turn; source_and_bytecode_artifacts_execute_the_complete_frozen_trace (C: 4096 turns, unchanged reference/hash)	changed_frozen_constant_is_rejected_by_semantic_admission; second_observation_root_is_rejected_before_activation	G23	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	compile_frozen_ekf_product through canonical source frontend
runtime.config-profile	B	src/runtime/src/config/profile/mod.rs	parse_config_document	raw	propagate	canonical adapter/path present; full product qualification distinct	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	config::profile::lower::tests::run_paths_parse_and_lower; config::profile::lower::tests::serve_presentation_parses_and_defaults_to_document	config::profile::lower::tests::unknown_run_field_fails; config::profile::lower::tests::unknown_serve_presentation_fails		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	compile_config_document from retained SourceDocument through restricted configuration IR
runtime.interactive-clear	B	src/runtime/src/interactive.rs	impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::clear_variables	empty-literal+trimmed	propagate	canonical adapter/path present; full product qualification distinct	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_clear_removes_definitions_assignments_and_op_assignments; canonical_clear_preserves_same_line_statements_and_tuple_ownership	canonical_clear_removes_definitions_assignments_and_op_assignments: repeated removal of an absent binding rejects	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	ResidentReplSession::clear_variables through canonical source edits
runtime.interactive-replace	B	src/runtime/src/interactive.rs	impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::replace_source_preserving	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_interactive_turns_and_replacement_preserve_live_state; canonical_interactive_rewired_projection_uses_the_migrated_epoch	canonical_interactive_matrix_projection_and_failed_candidate_preserve_state; canonical_interactive_uses_configured_resource_planning: denied candidate preserves accepted source/state	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	ResidentReplSession::replace_document and replace_finished_stream through canonical session
runtime.interactive-reset	B	src/runtime/src/interactive.rs	impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::reset	empty-literal	propagate	canonical adapter/path present; full product qualification distinct	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_interactive_lifecycle_executes_only_final_streams: reset restores initial retained source and activates exactly once	canonical_interactive_lifecycle_executes_only_final_streams: open and cancelled candidates cannot replace the accepted lifecycle	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	ResidentReplSession::reset restores the initial retained document
runtime.interactive-submit	B	src/runtime/src/interactive.rs	impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::submit_without_source_echo	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_finished_stream_preserves_pending_selection; canonical_interactive_result_identity_is_independent_of_fence_publication	canonical_finished_stream_preserves_pending_selection: failed candidate preserves selection and source; canonical_interactive_lifecycle_executes_only_final_streams: nonfinal stream rejected	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	ResidentReplSession::submit_finished_stream and shared submit_prepared_entry
