case-id	family	observed-stage	expected-stage	contract-comparison	disposition	oracle	gap-id	acceptance-gap	acceptance-cells	milestone-capability-group	milestone-positive-witness	open-obligation	witness	expected-json
scalar-u8	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-u8 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-u8-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u8-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u8-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u8-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u8-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u8-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u8-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u8-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u8-pow	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u8-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-u8	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-u8 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-u16	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-u16 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-u16-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u16-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u16-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u16-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u16-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u16-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u16-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u16-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u16-pow	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u16-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-u16	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-u16 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-u32	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-u32 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-u32-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u32-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
