export	overload-id	acceptance-group	candidate-layout	predicate-domain	kind-domain	configured-target-domain	source-exposure	recipe-form	source-recipe-json	boundary-cells	reference-oracle	implementation-authority	discovery-command	acceptance-status
combinatorics/n-choose-k	0	C34	inputs: Fixed([K0, K1]), outputs: [K2]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c64,r64; c32=target-rejection admission obligation	ModuleOnly	named-call	"""+> combinatorics\nanswer := combinatorics/n-choose-k(4, 2)\nanswer\n"""	CHOOSE;PROMOTION;TURN;VISIBILITY	integer binomial recurrence for scalar counts; lexicographic index combinations for matrix data	scheme.rs:991-1019; numeric.rs:4134-4310	MECH_AUDIT_CASE=catalog-combinatorics-n-choose-k ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
combinatorics/n-choose-k	1	C34	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, K1]), outputs: [Matrix { element: K2, dimensions: [D2, D3] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c64,r64; c32=target-rejection admission obligation	ModuleOnly	named-call	"""+> combinatorics\nanswer := combinatorics/n-choose-k(4, 2)\nanswer\n"""	CHOOSE;PROMOTION;TURN;VISIBILITY	integer binomial recurrence for scalar counts; lexicographic index combinations for matrix data	scheme.rs:991-1019; numeric.rs:4134-4310	MECH_AUDIT_CASE=catalog-combinatorics-n-choose-k ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	0	C10	inputs: Fixed([K0, K0]), outputs: [bool]	Equatable	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	1	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K0, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	2	C10	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	3	C10	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, bool]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	4	C10	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, 1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	5	C10	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [1, D2] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	6	C10	inputs: Fixed([bool, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	7	C10	inputs: Fixed([Matrix { element: bool, dimensions: [D2, 1] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
