consumer-id	integration-owner	final-entry-point	owning-data-type	input-finality-policy	diagnostic-policy	feature-distribution-profiles	positive-witness	negative-witness	final-c-change	removal-dependencies	blocker-owner	status	evidence-sha	evidence-result
bundle-web.project	B	bundle_web_project canonical render/artifact publication and real loader	retained source plus existing ProgramArtifact bytecode	raw at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; retired AST payload/cache rejects with regeneration instruction	mech:bundle_web_core; isolated profile plus full distribution	canonical_bundle_root_executes_with_transitive_source_exports (producer passed); actual C browser bootstrap still required	canonical_bundle_rejects_stale_source_and_retired_tree_payload; real-WASM stale transitive dependency test remains required	src/bundle_web.rs::bundle_web_project -> bundle_web_project canonical render/artifact publication and real loader	route:bundle-web.project; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-store-cache; module-store-transfer; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; bundle-payload; browser-loader; browser-features; old-formatter; cli-style-sheets; root-parser-exports; runtime-tree-loading; old-engine-mechdown	B/C: complete canonical WasmDocument transport and verify stale artifacts at the real browser loader	planned	ba5563ac3e3cc23cc070d86e518af812b6e99adf	partial: producer and envelope regressions pass; complete C browser product unqualified
cli.compute-inline	B	compile_inline_compute_application through canonical mixed compiler	SourceDocument and ProgramCompilationProduct	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; malformed source and unsupported target fail before activation	mech:compute_backends_native; isolated profile plus full distribution	canonical_mixed_document_owns_partitioning_and_typed_initializers; canonical_mixed_document_retains_batched_activation_values; actual CLI application witness required	mixed_document_rejects_coordinator_input_with_the_wrong_shape_without_a_provider (C); malformed/unsupported CLI activation still requires product witness	src/cli/compute.rs::compile_inline_compute_application -> compile_inline_compute_application through canonical mixed compiler	route:cli.compute-inline; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-store-cache; module-store-transfer; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; root-parser-exports; runtime-tree-loading; old-engine-mechdown	C: execute compile_inline_compute_application with configured native hosts and retained canonical source	planned	ba5563ac3e3cc23cc070d86e518af812b6e99adf	partial: mixed compiler and native backends pass; CLI product route not yet qualified
cli.format	A	Canonical document renderer through format::run	SourceDocument	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; CLI malformed document reports positioned diagnostics	mech:formatter; isolated profile plus full distribution	canonical_cli_format_adapter_preserves_raw_coordinates_and_rejects_malformed_input: retained Unicode/CRLF text and canonical text/HTML rendering	canonical_cli_format_adapter_preserves_raw_coordinates_and_rejects_malformed_input: malformed retained input rejects both renderers	src/cli/commands/format/mod.rs::run -> Canonical document renderer through format::run	route:cli.format; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; old-formatter; cli-style-sheets; root-parser-exports	S7A complete canonical text/HTML renderer	prepared	2f3a7a97f5afbecab1fbcd475574c862c88daf26	pass
cli.run-classification	A	DocumentSyntax::contains_executable_source through parses_as_executable_run_source	SourceDocument	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	return-false; malformed or missing syntax returns false	mech:run; isolated profile plus full distribution	canonical_cli_classifier_excludes_inert_local_and_malformed_source: executable root and evaluated inline source classify true	canonical_cli_classifier_excludes_inert_local_and_malformed_source: prose, displayed code, disabled/Mika-local and malformed source classify false	src/cli/run/mod.rs::parses_as_executable_run_source -> DocumentSyntax::contains_executable_source through parses_as_executable_run_source	route:cli.run-classification; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; root-parser-exports	none	prepared	2f3a7a97f5afbecab1fbcd475574c862c88daf26	pass
engine.frozen-ekf	B	compile_frozen_ekf_product through canonical source frontend	Canonical source and ProgramArtifact	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; invalid source or missing target operations fail planning	mech-engine:resident-artifact+semantic-compiler; isolated profile plus full distribution	ordinary_source_and_bytecode_close_the_same_frozen_artifact; public_ekf_artifact_activates_into_generic_storage_without_a_turn; source_and_bytecode_artifacts_execute_the_complete_frozen_trace (C: 4096 turns, unchanged reference/hash)	changed_frozen_constant_is_rejected_by_semantic_admission; second_observation_root_is_rejected_before_activation	src/engine/src/efficacy/ekf/closure.rs::compile_frozen_ekf_product -> compile_frozen_ekf_product through canonical source frontend	route:engine.frozen-ekf; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; compiler-tree-apis; old-engine-source; source-container; root-parser-exports; runtime-tree-loading; old-engine-mechdown	C: complete engine distribution build (44 deleted-parser unit-test references remain) and served mixed application; frozen product targets pass 18 tests	prepared	28c7ece2eef3602542f9d999a80f4e58b067273c	pass
runtime.config-profile	B	compile_config_document from retained SourceDocument through restricted configuration IR	SourceDocument and configuration product	raw at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; unknown or invalid values fail without general evaluation	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	config::profile::lower::tests::run_paths_parse_and_lower; config::profile::lower::tests::serve_presentation_parses_and_defaults_to_document	config::profile::lower::tests::unknown_run_field_fails; config::profile::lower::tests::unknown_serve_presentation_fails	src/runtime/src/config/profile/mod.rs::parse_config_document -> parse_config_document through maintained canonical configuration boundary	route:runtime.config-profile; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; root-parser-exports; config-extractor; config-compiler	C: final configuration distribution matrix; retained configuration owner is implemented	prepared	ba5563ac3e3cc23cc070d86e518af812b6e99adf	pass
runtime.interactive-clear	B	ResidentReplSession::clear_variables through canonical source edits	SourceDocument and finalized DocumentStream	retained complete revision; unfinished or cancelled streams reject before candidate construction	propagate; failed clear planning restores source and resident state	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_clear_removes_definitions_assignments_and_op_assignments; canonical_clear_preserves_same_line_statements_and_tuple_ownership	canonical_clear_removes_definitions_assignments_and_op_assignments: repeated removal of an absent binding rejects	src/runtime/src/interactive.rs::impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::clear_variables -> ResidentReplSession::clear_variables through canonical source edits	route:runtime.interactive-clear; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; interactive-cache; root-parser-exports; runtime-tree-loading; old-engine-mechdown; wasm-repl-transfer; cli-repl-mika-presentation	C: final host/distribution execution of clear; canonical source-edit and state ownership regressions pass	prepared	ba5563ac3e3cc23cc070d86e518af812b6e99adf	pass
runtime.interactive-replace	B	ResidentReplSession::replace_document and replace_finished_stream through canonical session	SourceDocument and finalized DocumentStream	retained complete revision; unfinished or cancelled streams reject before candidate construction	propagate; failed/discarded candidate preserves prior source/state	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_interactive_turns_and_replacement_preserve_live_state; canonical_interactive_rewired_projection_uses_the_migrated_epoch	canonical_interactive_matrix_projection_and_failed_candidate_preserve_state; canonical_interactive_uses_configured_resource_planning: denied candidate preserves accepted source/state	src/runtime/src/interactive.rs::impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::replace_source_preserving -> ResidentReplSession::replace_source_preserving through canonical session	route:runtime.interactive-replace; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; interactive-cache; root-parser-exports; runtime-tree-loading; old-engine-mechdown; wasm-repl-transfer; cli-repl-mika-presentation	C: final browser activation-factory adoption; all 29 C interactive lifecycle tests pass	prepared	ba5563ac3e3cc23cc070d86e518af812b6e99adf	pass
runtime.interactive-reset	B	ResidentReplSession::reset restores the initial retained document	SourceDocument and finalized DocumentStream	retained complete revision; unfinished or cancelled streams reject before candidate construction	propagate; canceled pending stream cannot later publish state	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_interactive_lifecycle_executes_only_final_streams: reset restores initial retained source and activates exactly once	canonical_interactive_lifecycle_executes_only_final_streams: open and cancelled candidates cannot replace the accepted lifecycle	src/runtime/src/interactive.rs::impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::reset -> ResidentReplSession::reset with empty canonical document	route:runtime.interactive-reset; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; interactive-cache; root-parser-exports; runtime-tree-loading; old-engine-mechdown; wasm-repl-transfer; cli-repl-mika-presentation	C: final browser reset through the canonical document activation factory	prepared	ba5563ac3e3cc23cc070d86e518af812b6e99adf	pass
runtime.interactive-submit	B	ResidentReplSession::submit_finished_stream and shared submit_prepared_entry	SourceDocument and finalized DocumentStream	retained complete revision; unfinished or cancelled streams reject before candidate construction	propagate; provisional/limited/canceled/failed parse never executes	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_finished_stream_preserves_pending_selection; canonical_interactive_result_identity_is_independent_of_fence_publication	canonical_finished_stream_preserves_pending_selection: failed candidate preserves selection and source; canonical_interactive_lifecycle_executes_only_final_streams: nonfinal stream rejected	src/runtime/src/interactive.rs::impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::submit_without_source_echo -> ResidentReplSession::submit_without_source_echo with finalized DocumentStream	route:runtime.interactive-submit; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; interactive-cache; root-parser-exports; runtime-tree-loading; old-engine-mechdown; wasm-repl-transfer; cli-repl-mika-presentation	C: final browser submission factory and source/artifact transport; native canonical lifecycle passes	prepared	ba5563ac3e3cc23cc070d86e518af812b6e99adf	pass
